Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,25.65,3.84,241.45,152.27,3.48,-29.69,10.54,1271.43,10.56,83.12,3.84,3.48,247.29,0.00,4.67,43.15,7.54,0.35,1.36,47.26,1.63,-1.27,0.00,63.58,150.24,30.77,-112.05,8.10,11593.54,0.70,-112.05,1229.06,1179.90
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1639.80,1.95,-13.51,11.13,1.58,10.22,114.20,-15.79,-12.55,1014.30,1.95,1.58,11.42,-0.58,37.46,701.38,-2.04,3.22,4.14,29.60,2215.96,-298.64,0.03,4.60,82.95,-0.98,-2.27,8.90,10.94,958.47,-2.27,43.24,1082.28
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.93,0.73,4.25,9.69,4.38,0.84,-23.69,-335.09,4.65,44.18,0.73,4.38,11.20,0.23,88.64,-8.68,36.68,8.13,13.08,0.00,1.71,-134.65,0.02,35.78,21.19,0.45,4.85,0.13,136.38,-4.85,4.85,309.36,262.96
AA Plus Trade,543319,,INE0C5901022,Commercial Services & Supplies,Trading & Distributors,1.36,2.42,-3.88,23.44,,0.45,293.50,-14.29,-18.92,43.76,2.42,,24.29,-0.56,0.92,40.25,-29.28,0.02,0.82,0.00,1.60,0.76,0.02,14.47,100.00,-0.37,-1.21,3.82,24.18,1.65,-1.21,68.92,33.08
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,107.60,4.64,33.19,22.05,,2.71,100.24,43.21,87.97,30.88,4.64,,23.96,0.21,0.00,30.85,14.12,0.06,1.00,54.83,30.84,15.26,0.16,21.27,63.03,5.09,82.97,16.05,174.53,23.27,83.15,118.99,138.03
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,472.95,5.83,-9.09,13.44,2.00,0.73,46.63,5.53,5.08,6895.17,5.83,2.00,13.58,-1.02,19.31,1747.10,-10.98,2.55,3.32,0.00,369.78,-77.45,0.07,13.66,38.90,-0.93,-6.78,11.01,58.51,37.85,-6.78,69.87,20516.40
Aadi Industries,530027,,INE563D01013,Chemicals & Petrochemicals,Petrochemicals,8.44,,-158.25,-111.06,,,,25.00,,-6.93,,,-111.06,-1.16,-55.53,-6.93,-41.03,-3.45,-0.03,0.00,,-282.46,0.01,37.16,87.97,-5.36,-49.65,-69.09,,-6.94,-49.65,-281.33,8.44
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,51.00,1.17,-12.96,8.87,5.73,0.22,46.98,,,43.39,1.17,5.73,8.98,-0.26,2.83,29.15,-15.20,0.36,1.90,0.00,175.61,-16.01,0.04,51.43,0.00,-2.49,-13.39,25.24,18.31,20.37,-13.36,-92.67,72.28
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,7.94,0.82,1095.72,9.10,1.90,-1.34,-11.72,-48.15,3.98,61.18,0.82,1.90,27.43,0.15,14.26,57.68,0.09,0.58,1.58,0.00,3.32,-43.64,0.01,42.42,12.46,0.53,9.76,9.49,69.88,-1.13,9.77,287.11,80.39
Aananda Lakshmi,539096,,INE197R01010,Textiles & Apparels,Other Textile Products,13.07,1.65,1.38,4.14,,0.02,-566.79,-841.18,-55.07,-17.40,1.65,,4.23,-3.16,3.88,-14.06,-1050.79,-0.72,-0.69,0.00,,-270.02,0.03,45.97,22.15,-0.43,0.66,352.10,,-44.86,0.66,7.62,4.57
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,17.39,0.05,2.61,-0.45,,0.68,1.33,171.43,6.12,6.40,0.05,,-0.37,0.89,0.00,25.57,3.57,0.17,25.48,0.00,,48.28,0.97,0.00,433.44,1.54,-1.82,-11.35,11.50,4.50,-1.84,8.65,4.93
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),13.54,29.00,-7.08,-5.39,,,-42.86,16.67,-50.00,2.81,29.00,,-5.39,-0.13,-17.50,-0.06,-14.39,0.12,1.15,0.00,,-6.65,0.09,0.00,37.04,-3.78,-7.39,-0.83,,-0.20,-7.38,-81.20,4.06
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,115.00,1.43,-67.66,9.14,6.08,0.11,56.66,,,74.06,1.43,6.08,10.40,,3.86,89.66,-3.66,0.75,2.62,0.00,153.37,-35.82,0.00,36.81,17.95,,29.59,16.12,26.56,45.69,29.67,26.18,162.59
Aarcon Facilitie,532024,,INE056J01015,Finance,Other Financial Services,13.69,13.83,23.47,54.40,,,-20.34,-16.67,-50.00,4.87,13.83,,74.18,0.14,0.00,0.77,7.19,0.00,1.00,0.00,,4.90,0.04,0.00,15.72,3.11,14.67,5.01,,-0.20,14.57,163.20,8.16
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.56,0.44,-609.78,18.01,2.49,-3.51,26.50,-25.55,-17.66,148.85,0.44,2.49,22.32,-0.21,12.63,138.60,-0.18,0.34,2.14,0.00,41.22,-26.13,0.01,33.44,112.65,6.29,18.35,6.25,66.93,39.97,18.32,185.03,188.73
Aarnav Fashions,539562,,INE750R01016,Textiles & Apparels,Trading - Textile Products,27.85,0.28,3.86,7.74,2.05,-16.41,22.07,-21.94,-26.20,190.74,0.28,2.05,11.11,-0.39,10.87,218.61,10.60,0.53,2.06,0.00,26.40,-81.96,0.03,56.69,14.14,0.81,4.69,6.14,10.27,22.03,4.70,63.58,117.63
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,161.99,3.82,-37.48,20.66,5.98,1.54,7.48,45.32,4.32,44.24,3.82,5.98,25.48,-0.05,3.89,63.02,-12.70,0.73,1.83,15.25,82.69,-8.69,0.01,37.21,8.32,5.97,39.23,22.72,361.35,3.18,39.31,167.96,339.28
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,49.52,4.33,-104.29,51.67,4.19,3.39,70.53,241.27,169.59,33.85,4.33,4.19,61.61,0.04,1.96,30.27,-4.26,0.37,1.33,14.39,23.28,-6.44,0.01,36.23,13.06,-13.11,-103.60,5.97,221.31,8.07,-103.51,72.84,157.34
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,375.75,1.36,60.93,12.87,7.10,-2.65,21.00,-10.21,-7.82,1468.30,1.36,7.10,16.21,0.02,3.41,1787.03,2.94,0.57,1.83,5.43,347.21,-24.29,0.00,34.65,20.43,1.43,14.03,14.52,39.62,58.00,14.02,84.59,3429.47
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,466.00,2.10,-210.35,18.90,2.14,-1.31,-10.84,25.47,10.38,5712.00,2.10,2.14,33.02,-0.02,12.01,7310.00,-0.87,0.75,1.89,10.96,178.34,-23.66,0.02,5.86,37.85,1.31,13.61,8.02,135.22,-24.05,13.61,114.17,16896.88
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,760.45,3.83,578.96,17.85,8.77,1.04,28.64,71.78,3.33,2046.21,3.83,8.77,23.35,0.00,2.42,2191.16,0.54,0.33,1.38,16.64,495.76,-9.63,0.00,21.72,36.48,3.66,20.78,16.72,107.07,56.92,20.79,137.62,6893.28
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,433.30,0.46,27.50,8.84,2.96,0.73,8.15,134.62,15.97,236.74,0.46,2.96,13.05,-0.07,8.13,295.79,4.06,0.55,1.93,5.83,373.99,-35.13,0.01,33.65,21.02,1.00,33.06,11.22,32.22,77.21,32.92,100.21,366.78
Aarvi Encon,,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,132.19,0.33,-143.50,10.30,6.14,-2.09,14.71,13.74,4.99,132.41,0.33,6.14,11.27,-0.02,3.19,103.59,-0.98,0.35,1.53,29.50,236.40,-18.79,0.08,13.03,50.22,5.58,-81.52,13.36,20.22,58.26,-81.58,40.79,195.79
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,79.90,9.02,36.66,36.01,1.98,-390.50,13.51,-52.73,1.56,99.54,9.02,1.98,74.62,-0.16,3.86,44.47,4.46,0.13,1.19,0.00,18.80,-5.36,0.01,33.42,22.73,-2.43,20.34,3.10,308.34,1.20,20.34,667.75,186.97
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),35.88,3.30,-2.00,4.73,6.41,0.02,203.32,-20.40,-23.14,79.44,3.30,6.41,4.73,-1.79,6.09,34.34,-28.33,0.64,1.37,0.00,164.07,-85.74,0.08,34.76,35.40,-0.27,-1.65,10.26,4.77,22.14,-1.66,23.42,55.74
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,20.25,2.10,-15.46,13.04,2.32,-1.09,200.41,54.55,-1.99,50.63,2.10,2.32,18.02,0.24,17.39,61.60,-5.14,0.22,1.21,0.00,41.37,2.25,0.25,20.59,39.66,1.12,13.70,18.81,49.58,19.37,13.70,89.73,45.76
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1297.20,3.94,-5.43,11.79,1.74,0.96,82.67,3.73,1.08,4679.87,3.94,1.74,12.05,-1.70,25.10,2310.40,-10.98,3.08,4.03,0.00,1383.63,-125.12,0.16,42.05,1.65,-0.53,-6.19,9.83,36.59,271.90,-6.19,60.41,10272.76
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1112.70,17.95,-138.37,647.57,,10.29,47.21,-76.28,1.12,53.25,17.95,,662.68,-0.01,0.00,44.98,-31.70,0.00,0.79,0.00,42.00,0.05,0.00,1.63,49.56,-18.00,-42.11,3.99,28231.94,29.29,-42.14,4604.84,1703.79
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,36.80,1.62,118.42,39.89,,0.73,4.15,4.31,76.36,10.65,1.62,,40.06,0.01,1.20,4.66,22.84,0.38,0.83,1.45,4.89,-2.04,0.00,86.23,23.49,8.74,471.62,19.52,660.75,0.94,471.32,148.02,179.10
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,445.00,3.74,-17.68,28.28,2.80,5.15,30.03,-12.56,-24.07,147.57,3.74,2.80,38.53,-0.18,13.75,181.54,-23.74,0.94,2.20,0.00,168.34,-14.20,0.00,12.40,20.24,-6.64,-59.05,8.92,467.79,35.70,-58.95,264.88,977.39
