Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,181.73,-8.19,-20.52,0,1,128527,153106,64105,158.00,284.10,348.00,6.60,-1.16,6.53,-5.78,188.30,207.34,188.56,207.59,49.78,-4.95,-5.85,-6.26,-6.59,7.90,33.40,36.57,225210,27.06,21.28,641.26
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.50,-10.55,-29.53,0,1,4355,7160,1837,36.03,81.45,145.05,2.30,-0.95,0.18,-13.66,43.09,53.03,43.24,53.17,38.80,-1.57,-1.67,-1.84,-1.91,-49.12,24.74,26.38,7889,10.94,3.52,41.48
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1162.40,7.07,11.93,0,1,1576844,765072,1080456,766.05,1273.80,1318.00,177.50,2.12,-0.32,2.82,1140.86,1100.11,1139.98,1099.48,53.95,-2.29,-4.78,-5.08,-5.78,17.48,35.79,30.48,1191044,,,47139.04
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1690.35,26.61,2.11,0,1,8727,10042,13643,1151.00,2100.00,2350.00,4.81,4.26,3.16,14.41,1515.21,1484.29,1508.06,1482.22,60.27,43.81,40.06,47.71,48.69,1.46,61.74,39.52,7224,57.65,67.68,1450.77
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,21.43,-16.48,-40.06,1,0,37895,29250,48000,21.06,48.50,48.50,21.06,-2.59,-2.59,-19.13,25.50,32.31,25.67,32.42,38.33,-1.44,-1.46,-1.41,-1.40,,,,53377,,,53.09
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,24.00,32.74,1.27,1,0,11765,12000,4000,15.00,35.94,52.26,15.00,3.09,2.13,36.36,20.00,24.14,19.83,24.14,66.91,1.62,1.58,1.24,1.14,-1.03,,,10691,,,14.45
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,16.22,-11.12,-22.91,0,1,408966,376737,628432,14.40,26.49,155.88,1.09,4.38,4.71,8.21,16.06,19.80,16.05,19.84,60.48,-0.11,-0.21,-0.28,-0.33,-37.85,-22.45,19.92,654237,29.82,15.35,336.40
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37635.00,4.32,24.00,0,1,4084,6734,11787,25714.35,38030.00,41000.00,464.10,3.15,5.23,8.05,34660.80,32567.84,34539.41,32516.91,68.85,422.07,234.59,85.15,0.92,36.60,17.13,12.69,6457,8.80,13.48,42414.65
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,35.17,-12.90,-29.31,0,1,4544,5153,2990,30.79,58.79,82.06,2.88,-0.90,1.50,-4.95,36.86,41.44,36.93,41.50,45.33,-0.58,-0.64,-0.70,-0.74,-23.53,20.50,29.92,14199,18.45,8.86,63.31
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.27,-9.29,-15.89,0,1,10681,5644,3510,1.16,1.90,315.00,0.19,-5.93,-15.33,0.00,1.34,1.43,1.34,1.44,45.52,0.03,0.04,0.04,0.04,-24.85,-10.98,10.81,11311,-3.25,-37.99,4.43
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,339.10,17.30,-6.74,0,1,205929,41600,33665,287.65,433.70,759.10,90.00,-0.50,-0.63,-8.13,342.58,361.26,342.72,361.48,47.47,-3.56,-3.69,-1.50,-0.98,-10.53,4.77,6.05,194881,13.59,,1059.43
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,724.85,-2.51,-22.07,0,1,202320,374235,232758,575.05,1130.00,3048.00,39.55,2.11,10.92,13.01,697.48,770.64,696.36,771.10,60.77,-5.41,-12.15,-18.93,-22.31,-0.01,53.94,54.36,264680,38.75,23.21,3340.00
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,3.93,-8.60,-19.63,0,1,26748,17164,22405,3.38,9.33,182.78,3.36,-0.76,-0.76,-1.01,3.95,4.79,3.95,4.80,54.89,-0.01,-0.02,-0.06,-0.08,-23.98,-24.69,-6.26,77258,-21.20,,11.01
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.99,-10.09,7.05,0,1,8844,5772,1538,65.00,101.00,101.00,4.43,1.34,-2.72,-1.26,78.42,78.27,78.56,78.31,45.94,-1.10,-1.14,-1.22,-1.25,-7.31,66.66,,19954,49.80,,167.39
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5870.00,19.48,16.70,0,1,407795,205954,159645,4590.05,6299.80,9200.00,203.47,0.94,2.00,16.28,5259.97,5423.61,5235.07,5419.13,73.19,207.42,193.45,123.22,102.17,7.97,22.85,31.96,339961,26.93,20.37,124390.22
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,19.94,-1.14,7.38,0,1,992547,1729605,500041,6.17,22.90,22.90,0.42,-1.19,4.18,8.37,18.95,16.95,18.91,16.92,56.92,0.35,0.32,0.14,0.09,142.87,159.58,103.60,305661,,,1273.75
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,114.29,-14.98,-13.37,0,1,4488948,801926,615882,100.86,176.10,176.10,100.86,-0.58,-1.81,-5.15,118.14,135.14,118.30,135.35,51.03,-1.82,-2.23,-3.32,-3.69,,,,2494204,,,13949.20
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,52.88,12.39,5.55,0,1,2198,6316,17664,34.00,78.21,213.60,12.00,19.02,34.90,35.90,41.50,47.67,41.04,47.62,77.47,1.25,0.22,-0.45,-0.88,-13.28,4.27,4.34,1382,19.84,,49.75
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1462.30,-16.24,-17.62,0,1,338009,540047,253132,1185.05,2537.90,3141.95,51.37,2.50,19.98,-6.82,1505.12,1780.80,1506.87,1784.00,54.85,-60.84,-77.34,-89.95,-97.22,-30.49,31.07,26.06,219895,23.70,22.17,16333.26
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,2.33,-12.41,3.56,0,1,40314,21525,8671,1.89,9.48,551.67,0.65,0.00,5.91,-2.10,2.38,4.81,2.38,4.84,51.67,-0.01,-0.02,-0.02,-0.03,-74.25,-45.16,-31.08,150179,-3.03,-23.24,7.79
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,77.00,11.68,57.14,1,0,16632,16000,4000,37.30,77.00,119.95,32.50,4.76,4.05,20.97,67.97,61.39,67.60,61.23,62.24,2.32,2.06,2.02,1.95,55.56,,,13442,,,42.23
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,27.00,-40.67,63.54,0,1,1177847,629926,2091777,10.25,70.42,70.42,1.04,-5.00,-18.50,-27.52,38.20,30.52,38.66,30.55,31.74,-3.59,-3.40,-3.22,-3.13,150.70,50.00,77.56,157045,54.24,,1242.00
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1634.05,17.46,47.53,0,1,876,2022,4196,896.30,1718.80,1718.80,15.84,4.96,11.14,18.15,1428.34,1271.37,1419.94,1267.72,73.40,36.21,25.27,16.67,11.78,56.62,54.68,37.29,1638,26.18,23.91,1078.47
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.57,-16.31,-25.01,0,1,255234,198394,211041,12.32,23.25,500.00,2.82,2.46,0.07,0.07,14.99,16.71,15.00,16.73,50.77,-0.23,-0.28,-0.32,-0.34,-24.82,20.15,26.77,297703,3.31,-2.57,256.61
AA Plus Trade,543319,,INE0C5901022,Commercial Services & Supplies,Trading & Distributors,1.36,-10.53,54.55,1,0,80000,80000,80000,0.68,1.59,2.68,0.53,-4.90,-4.90,-4.90,1.16,1.31,1.15,1.31,59.39,0.14,0.15,0.12,0.11,-6.21,24.19,,267170,,,33.08
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,101.17,12.70,20.41,0,1,66537,13280,8880,66.00,136.67,160.85,28.00,-0.08,-0.96,-2.73,100.25,93.91,100.21,93.84,48.49,-0.25,-0.20,0.47,0.65,14.60,16.34,29.17,85761,,,129.77
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,473.55,-5.10,-5.50,0,1,410711,354715,505630,340.50,547.80,547.80,292.00,-0.83,0.20,-0.99,482.31,478.32,482.67,478.36,45.63,-2.19,-2.13,-2.46,-2.53,23.03,,,602857,,,20542.42
Aadi Industries,530027,,INE563D01013,Chemicals & Petrochemicals,Petrochemicals,8.04,62.75,45.92,0,1,22008,21115,12321,4.49,13.43,75.80,0.99,-4.96,-11.16,-32.61,9.27,7.10,9.32,7.09,23.34,-0.52,-0.45,-0.26,-0.19,51.13,28.38,,10010,,10.55,8.04
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,51.00,-33.77,-45.69,1,0,6629,10400,3200,51.00,105.00,105.00,51.00,0.00,-4.40,-15.00,66.64,75.01,67.28,75.25,23.68,-5.34,-5.32,-4.78,-4.64,,,,50111,,,72.28
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,7.95,-10.27,-23.70,0,1,70216,61142,64737,7.06,13.79,33.80,0.94,1.79,0.89,-4.45,8.37,9.14,8.39,9.15,42.54,-0.18,-0.20,-0.20,-0.21,-16.67,6.40,-6.66,260944,29.96,,80.49
Aananda Lakshmi,539096,,INE197R01010,Textiles & Apparels,Other Textile Products,13.07,0.15,-19.32,0,1,2491,3796,3796,10.70,24.19,32.46,1.91,-4.95,-4.95,-4.18,14.96,16.60,15.03,16.63,43.31,-0.70,-0.74,-0.96,-1.02,-38.93,7.91,,2129,27.55,5.94,4.57
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,17.39,,,0,1,106,150,183,3.26,17.39,28.55,3.26,4.95,10.13,47.37,8.56,6.64,8.20,6.53,97.50,2.87,2.73,2.32,2.18,252.74,7.24,18.80,29529,10.49,9.61,4.93
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),13.54,10.08,18.56,0,1,100,100,100,9.88,13.54,13.80,3.20,4.96,4.96,4.96,8.43,9.23,8.22,9.19,94.99,1.76,1.66,1.47,1.40,,37.93,,43691,2.30,,4.06
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,115.00,-18.96,3.46,1,0,5143,2000,1200,97.50,182.00,182.00,97.50,0.00,-2.09,-10.16,126.89,126.49,127.37,126.60,40.15,-4.00,-3.99,-3.60,-3.50,,,,47849,,,162.59
Aarcon Facilitie,532024,,INE056J01015,Finance,Other Financial Services,13.69,,15.72,0,1,100,0,0,11.83,13.69,13.69,4.10,4.98,0.00,,7.57,5.77,7.32,5.69,94.98,1.88,1.75,1.42,1.30,21.47,,,100,,8.26,8.16
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,65.33,-32.58,-0.71,0,1,193910,107999,113343,31.30,100.00,143.95,9.02,-6.31,4.06,-0.88,70.02,69.65,70.21,69.69,46.05,-0.85,-0.81,-1.23,-1.33,35.93,25.19,17.96,101947,10.96,13.39,185.24
Aarnav Fashions,539562,,INE750R01016,Textiles & Apparels,Trading - Textile Products,28.23,-31.78,-35.34,0,1,109999,11296,7219,24.40,64.30,202.25,12.50,1.00,1.33,4.71,30.04,38.34,30.11,38.44,50.78,-0.53,-0.64,-1.00,-1.12,-54.77,-10.74,-20.47,61934,9.45,,119.24
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,163.35,-17.58,-28.41,0,1,11117,8320,5641,149.55,258.00,258.00,8.49,-0.80,0.03,1.95,168.73,180.58,168.95,180.76,50.51,-1.85,-2.24,-3.70,-4.16,-6.27,22.17,41.25,24909,48.54,,342.16
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,50.28,-1.18,-18.85,0,1,42487,62056,93503,43.80,77.66,105.57,6.04,3.67,5.41,-0.30,49.29,55.58,49.25,55.63,56.64,-0.54,-0.85,-0.89,-0.98,-22.13,24.91,43.61,110882,,,159.74
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,379.50,-19.10,-22.02,0,1,163524,158880,135770,312.00,574.95,1026.95,3.81,0.62,2.32,-1.85,398.95,439.05,399.74,439.65,45.95,-5.71,-6.23,-6.97,-7.28,-3.67,-0.26,-10.37,340941,14.74,12.28,3463.70
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,467.80,18.94,24.38,0,1,1922925,2391810,1616428,338.05,495.00,1060.84,4.43,-0.55,5.62,30.69,385.43,404.04,382.07,403.39,77.67,24.35,21.47,12.03,8.95,6.35,-4.89,-3.23,1366566,5.41,16.85,16962.16
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,764.40,2.38,0.90,0,1,247035,265748,578302,557.20,971.50,971.50,234.80,-3.82,-1.58,1.39,764.97,779.45,764.99,779.61,49.58,6.45,7.84,5.95,5.82,6.48,34.66,,398089,,,6929.08
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,445.70,-4.36,-5.49,0,1,45175,9998,10861,358.05,653.10,1858.12,218.70,0.88,3.83,23.45,415.13,469.18,413.88,469.41,63.23,9.25,7.70,5.39,4.42,-19.98,-6.37,-12.76,13536,,,377.28
Aarvi Encon,,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,130.92,9.07,5.48,0,1,24910,25837,25033,88.00,152.00,203.00,20.15,-0.11,1.41,0.09,126.76,122.89,126.59,122.81,55.94,1.04,0.88,0.27,0.08,8.63,-6.56,22.92,31611,15.76,,193.90
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,79.90,-13.85,-0.10,1,0,4286,0,0,65.10,120.00,126.55,36.30,-0.12,0.00,-0.12,84.03,91.79,84.20,91.91,47.12,-2.33,-2.56,-2.06,-1.99,-21.47,14.56,,10065,,,186.97
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),34.68,-25.40,-24.74,0,1,39393,49230,164,26.50,55.00,62.66,5.12,-1.37,-8.98,-5.30,39.26,40.77,39.45,40.83,42.34,-1.19,-1.14,-1.50,-1.58,-4.99,13.53,20.12,21458,-1.61,5.57,53.88
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,20.55,0.00,13.85,1,0,7789,4667,4000,14.50,25.50,60.00,14.50,-6.59,-0.96,-14.37,21.91,21.71,21.97,21.72,44.47,-0.39,-0.31,-0.22,-0.18,3.01,,,12151,,,46.44
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1343.10,-22.65,-18.99,0,1,376614,425842,169384,1276.15,2238.35,3340.00,611.50,1.14,-5.43,-7.49,1466.91,1614.91,1471.97,1617.65,34.51,-33.12,-30.71,-21.71,-18.86,-20.09,-12.77,-10.20,270501,5.81,,10636.26
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1114.05,8.90,18.60,1,0,63588,73875,71750,744.00,1131.10,1131.10,12.00,0.39,0.32,0.62,1085.27,954.78,1084.09,953.18,72.37,7.46,7.55,8.45,8.70,47.54,164.07,130.16,31183,78.23,,1705.85
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,36.62,-2.81,-72.40,0,1,268182,123767,74301,29.80,267.30,267.30,0.84,-0.27,-2.09,-17.56,45.42,76.90,45.78,77.31,42.00,-2.94,-3.16,-3.39,-3.50,-38.46,174.52,76.14,269361,50.13,29.98,178.24
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,437.20,6.56,4.59,0,1,13146,25120,38605,370.10,508.00,516.00,34.15,-0.24,5.30,6.87,416.77,415.49,415.94,415.27,66.14,5.17,4.23,2.57,1.92,-8.55,108.84,,15627,,,960.25
Aban Offshore,523204,ABAN,INE421A01028,Oil,Offshore Support Solution Drilling,21.27,-41.01,-50.20,0,1,137244,89616,84921,18.05,61.28,5555.00,12.60,1.58,0.24,16.23,24.33,36.70,24.45,36.85,46.67,-0.57,-0.62,-0.81,-0.87,-47.38,-20.73,-5.98,121952,-11.41,-17.60,124.14
ABans Enterprise,512165,,INE365O01028,Metals & Minerals Trading,Trading - Metals,26.65,-18.87,-24.33,0,1,25679,7604,5442,23.31,42.72,60.60,0.38,4.22,4.55,5.21,28.18,30.89,28.24,30.93,48.89,-0.81,-0.93,-1.00,-1.05,-14.00,-10.52,1.44,25187,25.29,46.63,185.88
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,204.82,-4.93,-7.00,0,1,40783,12196,21470,171.30,269.50,625.00,165.49,-3.94,1.53,1.90,202.83,218.86,202.75,219.00,55.03,0.96,0.91,0.20,0.01,12.33,-4.90,,55923,,,1037.59
Abate As Indust,531658,,INE454E01013,Healthcare Services,Hospital,11.95,-35.54,-45.83,0,1,46135,51441,95277,9.17,26.20,26.20,0.40,4.92,13.16,-33.05,15.06,15.37,15.19,15.40,34.36,-1.59,-1.71,-1.53,-1.52,30.32,16.08,53.99,24893,,31.90,188.34
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,27295.00,-7.69,-17.95,0,1,6732,7264,10914,26430.00,37000.00,37000.00,362.00,-0.67,0.72,-3.82,28079.21,29509.44,28111.22,29531.70,44.82,-261.29,-275.57,-298.51,-307.82,-6.30,9.58,13.58,9826,19.95,18.99,58001.88
ABC India,520123,,INE125D01011,Transport Services,Road Transport,66.20,-13.94,-20.93,0,1,2179,7248,841,64.85,114.95,177.00,13.50,-1.49,-6.51,-8.00,73.66,83.34,73.96,83.51,38.99,-2.08,-1.92,-1.61,-1.50,-35.98,-5.60,2.56,1667,3.26,-2.45,35.86
Abha Power,,ABHAPOWER,INE0UYG01015,Industrial Products,Castings & Forgings,33.00,-9.96,-24.49,1,0,9689,4267,6400,26.45,55.25,81.90,26.45,0.00,-3.65,0.92,34.34,38.91,34.40,38.97,48.32,-0.38,-0.40,-0.50,-0.53,-15.38,,,19384,,,61.34
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),122.30,0.49,-15.54,0,1,140,244,688,103.35,179.85,301.15,1.57,9.64,-3.09,0.49,122.61,133.06,122.62,133.17,51.65,-1.07,-1.47,-0.74,-0.66,-20.56,11.43,30.15,1534,,2.95,84.69
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.14,-12.31,-12.31,0,1,15327,20006,2948,0.97,1.87,23.70,0.51,0.88,-3.39,0.00,1.17,1.35,1.17,1.35,49.30,-0.01,-0.01,-0.01,-0.01,-38.38,-15.21,2.25,13529,-4.73,-24.95,5.70
Abhishek Finle.,538935,,INE723C01015,Finance,Non Banking Financial Company (NBFC),42.36,-7.71,-26.78,0,1,1,0,0,39.57,75.60,79.41,3.15,0.02,0.00,0.02,50.50,52.46,50.84,52.56,35.54,-2.93,-3.10,-3.41,-3.53,-31.12,13.66,27.02,550,,,19.54
Abhishek Infra.,539544,,INE281P01016,Realty,"Residential, Commercial Projects",7.52,4.16,16.23,0,1,1584,2347,4135,5.57,8.83,64.50,0.91,0.00,-4.33,-0.92,7.27,7.14,7.26,7.14,52.30,0.15,0.16,0.10,0.09,10.10,7.52,31.67,2260,11.73,-10.48,3.80
Abhishek Integr.,,AILIMITED,INE0CAJ01017,Construction,Civil Construction,24.90,-46.45,-52.34,1,0,3577,2000,1500,23.75,90.90,115.20,9.50,4.84,0.00,-21.70,36.14,50.98,36.60,51.24,24.20,-4.11,-4.22,-3.87,-3.80,-56.54,10.95,,5482,,,14.99
Abirami Fin.,511756,,INE195I01013,Finance,Non Banking Financial Company (NBFC),43.90,3.91,-9.91,0,1,366,397,5,35.79,59.00,85.02,2.55,4.55,12.56,13.00,39.76,43.86,39.59,43.86,64.75,0.69,0.34,-0.08,-0.27,-21.82,29.00,58.42,732,,14.91,23.71
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,245.15,-13.66,52.08,0,1,1582,780,435,145.10,325.00,325.00,3.16,-1.15,-6.43,-15.76,263.69,228.08,264.45,227.91,35.07,-5.74,-5.03,-3.78,-3.29,41.75,37.26,17.03,7252,22.16,9.56,490.35
Abram Food,544422,,INE0ZDY01011,Food Products,Other Food Products,97.50,-3.94,-16.06,1,0,6758,4500,8400,78.00,150.00,150.00,78.00,-8.88,-5.71,-15.25,111.95,109.98,112.54,110.10,41.97,-4.40,-4.14,-4.29,-4.27,,,,24962,,,50.25
Abril Paper,544500,,INE15MX01014,Industrial Products,Other Industrial Products,40.44,-3.18,,1,0,22400,12000,10000,36.97,56.90,56.90,36.97,-1.25,9.39,-3.51,40.56,44.60,40.56,44.64,54.73,-0.43,-0.59,-0.80,-0.89,,,,35019,,,32.28
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,188.05,-22.95,-2.18,1,0,53925,59250,119000,92.10,259.00,425.00,92.10,5.17,8.04,-0.34,190.02,191.71,190.11,191.75,52.97,-4.30,-5.46,-5.34,-5.60,30.45,,,59606,,,461.66
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1695.40,-8.10,-4.90,0,1,183937,125828,133987,1593.00,2123.30,2844.00,318.00,-0.63,0.20,-0.66,1730.57,1846.00,1732.00,1847.51,48.96,-16.63,-19.26,-22.61,-24.11,-12.40,-3.39,-0.81,327721,3.08,3.34,31837.45
Accedere,531533,,INE578B01015,IT - Software,Computers - Software & Consulting,61.34,-22.84,-11.74,0,1,1771,1984,682,58.06,97.46,103.96,1.63,-3.28,-10.97,-24.27,75.77,77.80,76.36,77.97,28.11,-4.07,-3.58,-2.83,-2.52,-30.57,-1.96,38.35,666,51.17,17.82,30.84
Accel,517494,,INE258C01038,IT - Software,Computers - Software & Consulting,14.03,-9.43,-10.41,0,1,24797,8776,5283,11.99,22.30,58.00,2.53,-0.36,-1.27,0.21,14.34,16.05,14.36,16.07,50.54,-0.12,-0.14,-0.28,-0.32,-32.68,-0.42,1.54,18538,6.87,5.78,80.77
AccelerateBS Ind,543938,,INE0POP01017,IT - Software,Computers - Software & Consulting,148.50,78.92,65.57,1,0,9061,7840,9600,67.00,152.95,253.10,67.00,1.12,5.17,70.83,105.84,110.41,104.10,110.03,80.84,15.51,15.24,13.37,12.83,14.23,,,4287,,,51.06
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1233.00,-7.83,-11.72,0,1,31084,64142,28770,1201.00,1527.00,2128.25,16.35,1.76,-10.49,-5.59,1322.56,1380.83,1326.21,1382.31,37.00,-12.75,-7.10,-1.71,1.05,-9.59,0.05,6.26,21172,4.09,3.67,1840.41
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,335.60,10.76,15.47,1,0,20275,13250,14000,170.27,378.00,378.00,170.27,0.16,0.71,-2.40,329.23,292.81,328.97,292.38,51.70,-1.69,-2.30,-2.37,-2.53,50.97,,,40299,,,805.07
Accord Synergy,,ACCORD,INE113X01015,Telecom - Services,Other Telecom Services,28.00,22.54,17.40,1,0,8000,0,0,17.50,31.65,93.10,10.25,0.00,0.00,-3.45,24.92,26.41,24.79,26.39,58.71,1.63,1.72,1.51,1.48,15.46,2.50,4.01,3767,2.85,,9.72
Accretion Nutraveda,544694,,INE1KVQ01019,,,164.10,,,1,0,187600,57250,4000,163.15,200.55,200.55,163.15,-3.47,-14.17,,188.63,190.53,189.63,190.80,,-4.32,-2.83,-1.55,-0.85,,,,187600,,,118.81
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,68.40,3.40,12.13,1,0,12505,12300,15600,53.80,102.50,102.50,53.80,2.01,-6.56,-7.00,74.23,73.34,74.47,73.39,42.57,-2.88,-3.03,-3.42,-3.55,,,,34846,,,76.03
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Transport Services,Logistics Solution Provider,5.19,-19.16,-25.32,0,1,120454,71350,63914,4.15,9.61,30.30,1.24,0.19,0.00,-3.35,5.48,6.80,5.49,6.82,46.76,-0.10,-0.11,-0.14,-0.16,-41.75,-33.21,-1.19,166908,-1.82,,78.14
ACE Alpha Tech,544431,,INE0S9X01011,IT - Software,Computers - Software & Consulting,93.21,-10.16,-17.11,1,0,6312,8750,9000,77.10,138.00,138.00,77.10,2.43,3.62,5.92,92.85,95.70,92.83,95.73,58.31,-0.68,-1.17,-1.91,-2.21,,,,88953,,,163.66
ACE EduTremd Ltd,530093,,INE715F01014,Other Consumer Services,Education,4.66,9.91,15.35,0,1,10255,1100,1100,2.90,4.67,57.90,0.95,4.95,4.95,-0.21,3.97,2.91,3.94,2.89,71.68,0.22,0.22,0.23,0.23,29.09,26.17,,5325,11.91,4.33,4.27
Ace Engitech,530669,,INE035401020,IT - Services,IT Enabled Services,134.40,-10.40,-27.76,0,1,114,150,150,116.80,238.45,301.20,1.42,5.00,5.00,5.00,150.19,159.56,150.83,159.81,44.57,-5.69,-6.18,-5.71,-5.71,-34.12,107.93,109.88,217,60.73,,11.54
Ace Integrated,,ACEINTEG,INE543V01017,Commercial Services & Supplies,Diversified Commercial Services,19.43,-16.89,-19.64,0,1,2653,3471,1665,18.16,29.94,82.30,8.27,0.99,0.26,-3.29,20.86,23.73,20.91,23.77,41.59,-0.50,-0.53,-0.59,-0.61,-21.49,-32.53,,14188,3.12,,19.82
Ace Men,539661,,INE023R01018,Retailing,Distributors,100.00,12.87,57.51,0,1,1247,1334,1647,53.35,107.14,107.14,9.70,0.00,0.00,11.11,96.26,87.25,96.10,87.12,54.58,1.59,1.65,1.38,1.33,18.54,10.21,22.94,2262,,,129.15
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,224.60,-10.30,10.53,0,1,17346,16178,17000,162.62,302.27,302.27,2.66,1.47,2.04,5.08,220.99,224.41,220.85,224.40,57.26,2.63,2.49,1.88,1.69,-16.70,203.55,105.42,25848,54.54,38.71,364.35
Achyut Healthcar,543499,,INE0K1401020,Pharmaceuticals & Biotechnology,Pharmaceuticals,5.18,-7.00,2.57,0,1,178382,317770,279754,2.82,6.57,6.57,0.72,-3.54,-2.63,-9.91,5.46,4.92,5.47,4.91,42.96,-0.07,-0.06,-0.07,-0.07,14.35,50.49,,302605,,,122.02
ACI Infocom,517356,,INE167B01025,IT - Hardware,Computers Hardware & Equipments,1.02,-35.03,-44.57,0,1,194329,115108,326572,0.89,2.50,23.25,0.19,-3.77,-3.77,-0.97,1.19,1.60,1.19,1.61,38.16,-0.04,-0.04,-0.05,-0.05,-53.64,4.65,28.60,241364,8.13,-17.33,11.27
