Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Graviss Hospital,509546,,INE214F01026,Leisure Services,Hotels & Resorts,31.41,-20.18,-25.87,0,1,2740,1491,1867,28.51,51.90,99.25,6.85,2.28,2.68,1.26,32.71,38.54,32.76,38.61,49.76,-0.45,-0.53,-0.70,-0.76,-33.23,10.87,13.47,11612,3.83,5.55,221.50
Gravita India,533282,GRAVITA,INE024L01027,Minerals & Mining,Industrial Minerals,1701.00,-1.02,-4.69,0,1,227489,196062,467028,1379.65,2170.00,2700.00,15.10,1.59,2.33,5.13,1684.84,1738.61,1684.18,1738.99,55.50,-12.16,-19.03,-32.86,-38.04,-7.13,48.62,85.43,365696,60.59,54.53,12554.82
Gravity (India),532015,,INE995A01013,Textiles & Apparels,Other Textile Products,12.56,96.25,97.17,0,1,34604,16682,4301,4.12,15.93,16.89,0.95,4.93,13.97,-8.85,11.10,8.09,11.04,8.04,56.50,0.04,-0.03,0.12,0.15,204.12,44.88,51.77,30494,22.70,17.01,11.31
GRE Renew,544682,,INE0U8P01015,Construction,Civil Construction,98.67,,,1,0,107920,7800,6000,86.80,105.50,105.50,86.80,-1.33,-2.31,,94.59,92.22,94.42,92.15,55.04,2.14,2.31,2.06,2.04,,,,107920,,,140.98
Greaves Cotton,501455,GREAVESCOT,INE224A01026,Industrial Products,"Compressors, Pumps & Diesel Engines",173.37,-18.64,-17.05,0,1,1001223,1608489,865367,155.10,289.00,319.50,10.01,-0.35,0.54,-0.68,179.16,196.70,179.39,196.94,51.01,-2.65,-3.24,-4.47,-4.93,-35.20,7.60,13.49,2634573,5.54,3.87,4037.72
Greenchef Appli.,,GREENCHEF,INE0O7P01015,Consumer Durables,Household Appliances,47.00,-21.99,-22.57,1,0,10720,7800,1600,42.30,74.05,153.00,42.30,-1.47,1.08,-12.96,52.89,60.65,53.13,60.79,40.00,-2.31,-2.43,-2.57,-2.63,-33.33,,,12524,,,109.38
Greencrest Finan,531737,,INE414C01045,Commercial Services & Supplies,Diversified Commercial Services,0.57,-5.00,-14.93,0,1,133068,101201,70198,0.50,0.80,73.00,0.46,1.79,7.55,0.00,0.57,0.65,0.57,0.65,59.44,-0.01,-0.01,-0.01,-0.02,-27.85,-20.86,2.66,207354,-18.57,-37.44,20.83
Greenhitech Ven.,544163,,INE0S0701019,Petroleum Products,Lubricants,89.50,-29.39,-10.50,1,0,7500,4000,8000,81.35,141.80,175.00,73.50,-2.72,-0.56,-11.82,104.95,109.58,105.58,109.78,33.43,-5.60,-5.58,-5.36,-5.30,-22.17,,,6511,,,116.25
Greenlam Industr,538979,GREENLAM,INE544R01021,Consumer Durables,Plywood Boards/ Laminates,257.03,-3.82,18.47,0,1,33204,35360,72616,187.00,298.27,331.01,29.90,2.28,1.02,8.62,248.96,249.54,248.63,249.47,57.55,1.52,0.97,0.16,-0.18,-7.39,18.27,23.11,187725,20.37,18.68,6558.06
Greenleaf Envi.,,GREENLEAF,INE0PLX01017,Other Utilities,Waste Management,137.00,7.87,,1,0,17300,8250,3000,111.00,185.90,185.90,111.00,-0.58,3.63,-13.21,147.39,142.05,147.81,142.10,42.09,-5.22,-5.47,-5.75,-5.89,,,,47286,,,81.23
Greenpanel Inds.,542857,GREENPANEL,INE08ZM01014,Consumer Durables,Plywood Boards/ Laminates,231.10,-14.64,-15.39,0,1,184952,81689,115791,202.81,349.95,625.70,23.80,1.06,0.44,5.77,231.56,263.58,231.58,263.90,57.03,0.07,-0.62,-2.31,-2.90,-29.72,-6.67,5.99,417821,,,2833.92
Greenply Industr,526797,GREENPLY,INE461C01038,Consumer Durables,Plywood Boards/ Laminates,239.76,-20.35,-21.91,0,1,193553,260857,163423,214.80,351.95,411.95,3.65,-1.28,7.54,-0.76,249.05,282.12,249.43,282.54,51.68,-5.46,-6.77,-8.64,-9.43,-16.42,19.61,7.84,157045,12.08,5.05,2994.31
