Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Industry PE,Price to Quarterly Earning,Book value,Piotroski score,Asset Turnover Ratio,Industry PBV,FII holding,Change in FII holding,DII holding,Change in DII holding,Change in DII holding 3Years,Change in FII holding 3Years,Average Working Capital Days 3years,Market Capitalization 5years back,Market Capitalization 10years back,Market Capitalization 3years back,Historical PE 5Years,Historical PE 10Years,Historical PE 3Years,Return on assets 3years,Return on assets 5years,OPM 10Year,OPM 5Year,Return on equity 5years growth,Average return on equity 10Years,Average return on capital employed 10Years,Average return on capital employed 7Years,Average return on capital employed 5Years,Average return on capital employed 3Years,Book value 10years back,Book value 5years back,Book value 3years back,Average return on equity 5Years,Average return on equity 3Years,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,191.45,675.58,10.38,1.50,9.83,0.36,16.34,45.04,19.06,10.60,128.96,3.00,1.40,2.39,0.26,0.00,0.07,-0.10,-0.06,-0.47,39.46,90.16,120.38,260.59,10.52,9.97,11.67,9.42,8.12,13.10,12.80,3.72,15.25,18.72,19.24,18.95,20.04,24.75,60.78,71.27,15.53,16.53,100.02,21.70,10.35,17.75,38301.00
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.01,40.97,,0.85,21.91,0.00,23.67,64.43,13.38,,45.21,5.00,2.00,2.89,0.00,0.00,0.00,0.00,-0.15,-0.35,198.15,11.34,43.58,31.19,1.82,2.42,2.00,13.32,21.70,,17.54,17.63,2.39,5.31,5.75,26.40,19.42,45.38,22.33,29.03,28.36,23.06,50.73,78.43,68.93,86.98,8266.00
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1131.50,45885.93,39.01,4.96,6.20,1.47,20.57,6.25,21.00,36.01,230.68,5.00,0.21,2.22,65.51,-0.36,10.82,0.14,8.64,4.35,-59.02,8770.58,,14803.32,32.55,34.09,35.51,6.11,5.53,,60.41,24.63,,11.95,11.95,13.05,14.24,,80.43,85.22,20.01,21.90,96.13,14.47,6.11,24.47,78007.00
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1650.05,1416.17,24.70,4.72,17.53,0.00,19.40,41.28,35.77,16.69,347.47,8.00,0.35,5.89,2.57,-0.07,1.87,0.05,1.87,0.46,208.60,54.47,5.29,256.21,15.66,16.32,24.27,14.71,31.27,50.15,55.44,-7.18,28.81,35.62,44.74,50.86,21.89,16.26,175.88,203.81,29.55,16.84,259.88,20.95,13.89,15.42,10709.00
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,22.00,54.50,50.01,1.08,3.28,1.98,17.09,69.97,18.57,,20.34,6.00,0.55,1.88,0.00,0.00,0.00,-1.38,,,63.73,,,,15.07,15.07,15.07,2.55,1.51,,15.35,23.30,,7.26,7.26,7.11,8.16,,,,8.91,13.73,,9.82,3.68,20.40,1678.00
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,25.10,15.11,60.44,1.17,-0.38,0.04,-0.71,51.67,26.90,51.61,21.35,3.00,2.31,3.10,0.00,0.00,0.00,0.00,,,83.00,,,,36.86,36.86,36.86,1.25,,,4.73,,,18.36,18.36,18.36,14.70,,,,16.17,7.51,,12.48,0.53,2.88,716.00
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,15.97,331.25,4.71,1.01,4.06,0.11,8.28,0.00,24.47,4.56,15.75,7.00,1.19,3.58,0.32,-0.03,14.26,-2.70,3.46,-0.27,-2.21,243.04,405.85,996.94,21.22,9.59,19.02,-2.04,-1.62,-4.95,-3.72,-15.21,,3.53,1.53,-1.34,-0.76,1.42,3.81,34.27,-2.83,-3.98,14.19,-9.81,-10.49,-18.19,247800.00
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37289.95,42025.77,75.84,26.11,15.20,0.06,23.85,75.00,22.55,55.42,1429.58,4.00,1.42,1.56,3.50,0.07,8.39,0.27,1.49,-0.90,30.08,21209.87,8939.19,22189.21,73.27,72.85,68.01,15.87,12.30,15.54,15.16,16.46,17.83,27.27,24.47,25.17,33.78,877.12,1972.03,2209.29,17.54,23.55,1905.81,37.86,18.92,28.47,34539.00
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,35.20,63.36,29.75,0.38,1.61,0.00,1.74,73.30,23.65,39.57,93.03,4.00,0.03,0.85,0.00,0.00,0.00,0.00,0.00,0.00,-17.58,6.39,22.43,26.10,32.14,33.20,34.25,1.99,1.52,54.86,66.05,-21.06,1.91,3.76,2.82,2.26,2.77,2.71,25.90,37.08,1.78,2.03,54.84,2.94,2.11,2.20,11163.00
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.50,5.24,,0.33,-0.60,0.24,-0.76,9.43,55.09,,4.51,1.00,0.00,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,469.14,9.94,35.30,36.24,33.00,-0.10,-7.44,,,9.80,-4.76,-3.01,-6.32,-6.88,-0.10,4.85,5.09,4.56,-11.18,-0.13,4.56,0.87,0.85,1.07,8513.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,332.65,1039.30,24.01,1.66,3.67,0.46,11.89,32.78,21.00,21.53,200.72,8.00,0.19,2.22,12.36,-9.32,0.01,-0.24,0.01,-11.53,-876.06,288.28,,1014.01,28.00,29.07,25.21,3.05,2.53,20.33,26.29,27.58,5.73,-4.75,6.28,11.71,12.86,,62.22,128.41,10.20,10.89,173.39,12.89,2.81,10.29,55170.00
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,708.10,3262.84,,0.94,-1.93,0.00,-1.47,45.63,24.47,,758.24,3.00,0.01,3.58,1.08,-0.09,0.00,0.00,-0.12,-4.13,304.38,212.19,883.32,1242.97,15.98,23.47,15.78,0.61,0.02,-53.75,-37.14,2.26,-0.48,0.33,0.25,0.75,2.02,681.68,670.78,671.99,0.45,1.32,726.45,6.37,5.90,6.89,45996.00
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,4.03,11.30,6.41,0.77,0.79,0.16,1.14,10.04,31.26,5.86,5.25,9.00,0.51,4.84,0.00,0.00,0.00,0.00,0.00,0.00,510.55,319.00,,169.14,135.31,250.00,84.00,-0.36,-0.03,0.00,-0.78,2.01,0.10,1.23,1.11,0.67,0.23,,1.00,1.07,-0.34,-0.76,5.13,-3.24,-2.55,-4.00,35416.00
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.88,167.15,79.59,8.41,10.76,0.07,11.76,31.32,20.96,76.09,8.90,2.00,1.06,3.04,0.00,0.00,0.00,0.00,0.00,0.00,49.73,7.74,,35.12,75.76,75.76,89.09,12.49,102.66,3.76,10.56,,,-60.35,-95.45,12.45,15.84,,-5.19,-0.87,,,5.45,18.36,13.60,20.69,3844.00
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5806.50,123044.60,69.67,17.17,16.04,0.01,28.82,75.00,44.43,76.06,339.52,8.00,1.04,6.06,7.64,-0.65,9.15,0.84,-0.58,0.09,-4.82,27234.45,24150.67,47329.98,99.11,72.38,85.74,12.37,8.98,10.49,12.76,25.70,15.71,19.62,20.96,23.11,30.76,141.98,170.19,190.90,18.86,23.64,280.54,30.61,12.28,22.92,202400.00
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,21.02,1342.72,68.47,8.52,8.18,0.29,17.30,30.95,16.51,150.92,2.46,3.00,1.02,2.02,0.03,0.03,0.00,0.00,0.00,0.03,78.43,13.00,,14.54,38.40,24.70,53.19,7.25,4.72,12.15,12.34,3.99,15.20,16.19,16.38,15.55,20.35,,1.57,1.63,15.07,18.45,1.37,22.47,8.31,20.04,4412.00
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,114.55,13980.93,79.13,10.66,,2.67,9.78,46.60,31.26,34.70,10.74,2.00,,4.84,16.25,-5.34,17.05,5.57,,,-15.51,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,284718.00
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,56.30,52.97,,4.04,-3.57,1.09,-9.58,74.70,30.74,,13.85,4.00,2.11,2.55,0.00,0.00,0.00,0.00,0.00,0.00,8.47,15.82,,104.85,44.33,40.99,272.22,-12.09,0.46,-0.56,-0.63,11.22,-2.04,-0.85,-2.43,1.78,-22.71,,19.50,26.05,-0.69,-23.14,15.80,-18.70,-9.18,-20.63,1830.00
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1451.60,16213.75,,4.24,-0.68,1.45,-2.45,50.21,20.27,,338.35,2.00,0.09,0.82,8.96,-0.15,16.90,0.47,0.84,1.24,382.17,3307.44,2937.41,9545.88,105.12,53.78,123.39,0.74,0.79,,11.27,,,18.32,19.57,3.40,3.70,,313.73,332.93,1.50,1.25,356.23,3.60,0.64,1.28,107236.00
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,2.30,7.70,,0.21,-0.57,0.17,-2.47,2.29,30.74,,11.27,5.00,0.06,2.55,0.00,0.00,0.00,0.00,0.00,0.00,626.75,7.51,,79.60,54.10,54.10,24.64,0.01,,,,,,2.17,2.17,2.17,2.17,,,1.74,,0.01,3.61,-0.53,-0.20,-1.01,24248.00
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,77.00,42.23,42.23,2.19,1.83,1.12,4.97,70.64,19.66,43.09,35.14,4.00,1.24,1.99,0.00,0.00,0.00,0.00,,,55.20,,,,20.02,20.02,20.02,2.16,2.27,,4.03,11.98,,10.58,10.58,10.58,9.85,,,,9.62,8.48,31.77,14.20,4.03,15.37,256.00
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,25.65,1179.90,477.69,24.27,5.64,0.35,7.82,70.03,62.99,323.44,1.06,5.00,4.91,3.03,6.71,0.68,0.09,0.09,0.09,3.86,35.76,55.20,,299.92,133.38,77.50,234.71,4.04,5.24,2.08,2.40,-2.31,9.72,13.13,10.99,9.81,8.10,,0.87,1.01,7.75,5.86,1.04,3.88,1.58,2.12,1964.00
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1639.80,1082.28,10.42,1.05,2.17,3.22,8.97,72.09,20.07,10.77,1536.82,4.00,0.12,1.79,0.00,0.00,0.00,-1.94,0.00,0.00,355.59,120.29,153.71,288.92,4.47,3.97,7.56,2.62,3.06,63.54,65.38,1.15,10.84,9.19,9.17,9.04,8.90,637.41,1036.14,1151.26,10.53,10.06,1392.53,9.46,2.67,10.42,2668.00
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.93,262.96,22.96,5.94,0.55,2.07,28.93,28.14,16.51,75.47,2.51,8.00,0.57,2.02,0.81,-0.03,0.10,0.00,0.10,-0.03,-159.59,55.48,132.37,169.96,25.97,23.85,25.97,-1.77,-4.03,-1.99,-14.50,25.41,-30.23,-1.55,-2.96,-4.43,0.13,38.69,19.18,9.04,-34.72,-11.42,1.83,-19.96,-7.17,-132.12,42196.00
AA Plus Trade,543319,,INE0C5901022,Commercial Services & Supplies,Trading & Distributors,1.36,33.08,31.81,0.76,2.65,0.02,3.34,3.82,30.74,34.46,1.80,5.00,0.56,2.55,0.00,0.00,0.00,0.00,0.00,0.00,433.71,,,23.50,95.00,95.00,89.25,2.11,1.69,,-2.85,6.92,,3.35,3.35,3.38,3.82,,,0.52,2.88,3.10,0.55,4.92,2.50,4.02,233.00
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,107.60,138.03,39.22,4.45,11.33,0.00,11.94,34.38,35.33,27.97,24.07,6.00,0.70,2.87,34.10,26.33,0.00,0.00,0.00,34.10,140.47,,,58.88,35.23,33.95,35.39,11.11,9.59,18.21,19.31,-22.83,13.83,21.91,25.23,14.40,16.05,,17.49,17.92,10.97,11.95,21.80,16.19,11.25,12.03,10109.00
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,473.25,20529.41,19.71,2.97,4.31,2.55,16.86,75.19,14.67,17.49,158.93,6.00,0.15,2.23,6.19,0.08,8.45,0.20,,,-44.70,,,,21.84,21.84,21.84,4.05,3.59,,76.77,7.11,,10.44,10.44,10.58,11.01,,,,16.41,17.25,,11.36,4.20,18.41,197894.00
Aadi Industries,530027,,INE563D01013,Chemicals & Petrochemicals,Petrochemicals,8.44,8.44,,,-94.44,,,24.86,15.98,,-6.93,1.00,0.00,1.63,0.00,0.00,0.22,0.00,-0.04,0.00,0.00,1.03,4.42,6.78,,2.85,,-53.01,-48.60,,,,,-46.18,-61.13,-61.13,-69.09,-6.74,-6.07,-6.42,,,-6.69,-40.82,-28.57,,5575.00
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,51.00,72.28,11.97,1.53,13.71,0.36,33.80,67.01,47.91,,33.26,6.00,1.40,8.41,0.50,-1.37,10.73,-1.60,,,97.45,,,,14.25,14.25,14.25,11.39,9.54,,12.51,4.82,,20.98,20.98,20.98,25.24,,,,25.11,29.25,,23.28,10.03,25.86,920.00
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,7.94,80.39,52.54,1.33,1.43,0.43,2.29,66.54,20.16,71.87,6.04,6.00,1.03,0.79,0.00,0.00,0.00,0.00,0.00,0.00,-21.39,33.63,,251.61,25.57,21.14,20.37,4.80,5.89,17.31,16.38,-30.94,9.72,11.37,12.03,11.20,9.49,,4.10,4.72,8.96,7.37,5.78,12.63,7.00,11.19,49016.00
Aananda Lakshmi,539096,,INE197R01010,Textiles & Apparels,Other Textile Products,13.07,4.57,1.17,,28.93,,,58.67,20.04,1.90,-49.72,6.00,0.24,1.65,0.00,0.00,0.02,0.00,0.00,0.00,-8691.73,0.67,,3.06,2.34,2.36,2.27,24.85,9.48,-10.59,8.92,,,63.95,106.86,169.11,352.10,-5.14,-82.45,-78.67,,,-52.70,510.26,27.27,,7408.00
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,17.39,4.93,14.94,0.77,-0.97,0.00,-8.39,75.00,19.66,2.16,22.59,5.00,1.72,1.99,0.00,0.00,0.00,0.00,0.00,0.00,-2.42,8.61,24.50,40.35,11.07,15.85,11.07,-8.51,-6.63,-0.51,-4.87,6.75,-9.63,-0.15,-3.77,-6.64,-11.35,19.28,24.20,22.44,-24.33,-46.93,8.07,-3.76,-5.32,-30.33,4314.00
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),13.54,4.06,,1.45,-0.49,0.12,-0.55,8.58,20.07,,9.37,3.00,0.07,1.79,4.72,0.00,0.00,0.00,0.00,4.72,-2.14,1.25,,1.01,5.68,112.75,5.68,-0.89,0.55,22.71,9.60,14.32,0.27,1.19,-1.95,0.86,-0.83,,12.07,13.90,0.58,-0.85,12.43,-8.92,-8.82,-9.69,197.00
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,115.00,162.59,12.71,2.09,13.30,0.51,44.46,70.58,20.27,13.09,55.14,7.00,1.47,0.82,0.00,,1.44,,,,26.41,,,,12.49,12.49,12.49,7.08,5.01,,9.60,40.38,,13.15,13.15,13.15,16.12,,,,24.74,31.12,,14.17,5.97,27.16,
Aarcon Facilitie,532024,,INE056J01015,Finance,Other Financial Services,13.69,8.16,,1.68,2.65,0.00,2.67,92.73,35.08,40.80,8.17,8.00,0.20,2.10,0.00,0.00,0.00,0.00,0.00,0.00,74.16,3.34,3.37,4.34,11.61,11.61,11.61,2.71,1.12,22.25,33.12,20.87,-1.13,-0.17,1.06,2.49,5.01,8.98,7.77,7.62,1.16,2.77,8.05,5.13,5.06,5.13,2245.00
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.56,188.73,52.70,1.27,1.35,0.34,2.96,39.06,29.56,45.40,52.50,4.00,1.60,3.22,3.86,2.73,0.00,0.00,0.00,-0.06,94.26,31.10,23.37,105.22,23.28,18.60,29.33,1.44,2.02,1.60,1.46,-14.46,5.68,10.22,8.37,7.62,6.25,21.82,42.28,44.77,4.42,3.31,47.50,6.09,1.57,3.74,14897.00
Aarnav Fashions,539562,,INE750R01016,Textiles & Apparels,Trading - Textile Products,27.85,117.63,16.57,0.62,2.35,0.53,4.95,66.53,47.02,16.11,45.16,9.00,0.99,1.21,0.00,0.00,1.76,0.00,1.76,0.00,64.39,70.45,,90.41,20.83,27.17,20.81,1.28,1.55,7.00,6.95,-23.56,3.91,7.69,9.48,6.84,6.14,,110.05,115.26,3.69,2.84,42.37,6.70,1.38,3.19,26634.00
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,161.83,338.95,46.94,7.68,10.49,0.72,20.95,73.06,29.38,42.35,21.12,7.00,0.99,3.64,0.00,0.00,0.00,0.00,0.00,0.00,28.20,21.52,,114.03,44.87,40.72,47.44,12.48,12.28,16.29,17.26,9.27,22.34,23.04,20.54,21.52,22.72,,6.05,7.91,23.06,23.30,17.15,19.83,11.16,22.48,13721.00
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,50.45,160.29,48.70,4.72,5.98,0.16,8.23,52.75,44.43,18.49,10.65,6.00,0.87,6.06,0.00,0.00,0.00,-0.31,0.00,0.00,119.79,24.39,,43.69,69.28,63.80,73.73,3.71,3.36,,5.43,56.36,,4.42,4.42,5.49,5.97,,7.86,8.61,4.36,4.94,9.29,4.81,1.23,1.64,14358.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,375.75,3429.47,16.93,2.34,6.71,0.39,12.69,55.03,29.56,21.36,160.87,4.00,0.95,3.22,2.15,-0.53,10.12,0.22,6.22,0.25,73.88,1170.41,1574.53,3973.47,24.18,21.06,25.78,6.99,9.61,14.27,13.80,-11.28,18.87,18.92,19.43,19.70,14.52,36.88,98.01,111.92,18.24,13.76,139.40,15.00,7.08,13.87,152252.00
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,465.00,16860.63,45.44,2.97,3.10,0.70,6.03,42.14,28.86,28.65,157.53,5.00,0.69,2.77,6.70,0.30,18.22,0.01,3.68,-5.35,-35.98,12127.11,2745.54,31486.03,42.99,30.39,46.06,4.74,7.44,19.60,18.70,-20.40,15.76,14.88,13.21,11.79,8.02,34.13,100.54,124.58,13.33,8.47,145.92,7.30,4.49,8.22,428931.00
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,760.00,6889.20,31.94,3.35,9.93,0.32,14.54,43.10,29.56,34.58,225.73,7.00,0.77,3.22,7.69,-0.33,7.66,0.71,,,102.82,,,,25.41,25.41,25.41,9.31,,,,,,17.38,17.38,17.38,16.72,,,,14.12,13.64,193.88,16.62,8.97,13.06,190655.00
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,433.30,366.78,20.52,1.57,2.58,0.50,5.14,49.88,28.86,25.77,279.67,5.00,1.47,2.77,0.00,0.00,0.30,-0.50,0.00,-0.59,31.67,,,628.41,39.88,41.46,35.51,3.63,3.79,,7.93,22.25,,10.75,10.75,10.75,11.22,,156.06,159.89,8.80,8.00,257.86,14.57,5.16,11.05,37015.00
Aarvi Encon,,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,132.19,195.79,13.66,1.48,5.21,0.24,8.26,73.47,22.14,10.10,89.40,1.00,2.66,2.47,0.01,0.01,0.00,0.00,0.00,0.01,49.37,31.34,,171.35,14.04,12.24,15.74,7.34,7.99,4.23,3.73,-3.32,11.90,14.30,13.29,13.41,13.36,,57.54,64.05,11.73,10.93,78.93,11.74,6.89,10.09,9666.00
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,79.90,186.97,164.01,1.88,1.97,0.13,2.39,61.33,45.46,333.88,42.54,8.00,0.19,5.60,0.00,0.00,0.00,0.00,0.00,0.00,-82.08,,,117.23,30.14,30.14,76.81,0.62,2.18,,19.07,-19.29,,6.82,6.82,5.76,3.10,,,41.27,2.28,0.74,41.15,4.80,1.90,2.49,1174.00
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),35.88,55.74,6.82,0.70,8.19,0.64,14.82,28.49,20.07,5.66,51.13,5.00,0.15,1.79,0.00,0.00,0.00,0.00,0.00,0.00,-45.80,13.73,6.74,9.41,15.36,24.04,15.38,5.71,4.29,75.36,83.43,131.58,7.98,5.50,6.03,7.31,10.26,15.79,18.16,18.31,10.47,12.65,23.55,9.37,5.10,11.75,6387.00
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,20.25,45.76,54.48,0.91,1.06,0.22,1.29,63.76,45.46,45.53,22.40,5.00,0.32,5.60,0.00,0.00,0.00,0.00,,,353.50,,,,55.61,55.61,55.61,9.14,21.50,,28.59,,,37.56,37.56,37.56,18.81,,,,16.65,8.00,21.89,6.41,1.98,2.76,1389.00
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1296.20,10264.84,16.39,2.22,3.27,3.08,14.11,48.95,14.67,15.64,591.05,4.00,0.13,2.23,24.72,-1.16,14.30,0.17,3.39,-13.19,27.61,9311.39,,20282.34,28.78,42.07,25.60,3.35,3.42,73.88,74.00,2.18,13.49,10.39,10.00,9.80,9.83,,305.89,355.81,13.82,14.06,476.79,9.90,3.28,13.93,122052.00
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1114.70,1706.85,884.39,32.04,4.36,0.00,4.66,20.70,20.04,2305.20,34.78,5.00,1.78,1.65,0.00,0.00,0.00,0.00,0.00,0.00,303.59,3.74,,8.60,830.49,821.90,830.49,2.94,0.72,1.07,1.81,30.62,1.68,1.21,0.67,1.29,3.99,,25.23,23.84,2.37,3.60,19.93,1.33,1.48,1.50,177.00
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,36.75,178.86,39.21,16.81,49.31,0.38,51.06,0.00,55.09,36.83,2.19,6.00,10.73,4.25,0.00,0.00,0.00,0.00,0.00,0.00,122.36,4.85,,8.58,256.26,24.33,330.54,18.68,9.68,0.70,1.21,37.99,7.94,13.08,13.40,11.68,19.52,0.84,1.39,0.97,6.73,22.28,1.00,12.65,11.99,12.22,46245.00
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,445.00,977.39,70.45,6.64,4.11,0.93,11.16,52.50,20.04,65.06,67.19,5.00,1.23,1.65,0.12,0.00,0.00,0.00,0.00,0.12,55.25,,,45.23,46.97,46.97,47.82,3.21,5.12,,9.31,17.96,,10.31,10.52,11.76,8.92,,,37.73,12.42,10.03,66.53,10.76,3.86,12.07,1121.00
Aban Offshore,523204,ABAN,INE421A01028,Oil,Offshore Support Solution Drilling,21.21,123.80,,,-58.36,,,46.00,20.16,,-4604.77,6.00,0.31,0.79,0.00,0.00,0.06,0.00,-1.80,-0.09,-21522.31,81.71,2462.69,269.36,,13.49,,-63.37,-57.33,-94.68,-69.58,,,-42.33,-105.02,0.00,0.00,632.79,-2882.32,-3343.16,,,-4090.09,,-81.32,,93386.00
ABans Enterprise,512165,,INE365O01028,Metals & Minerals Trading,Trading - Metals,25.00,174.38,10.77,0.81,4.03,0.93,9.63,74.56,24.51,19.69,31.17,4.00,8.23,2.80,15.17,1.32,0.00,0.00,0.00,2.59,20.92,239.77,0.82,142.19,11.67,9.63,15.69,4.08,5.41,,0.87,-28.22,,13.07,13.07,13.07,10.40,,27.53,29.34,11.82,7.93,26.62,10.66,2.55,5.08,3382.00
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,204.70,1036.98,8.05,0.91,3.64,0.62,10.17,71.36,19.42,8.09,233.24,3.00,1.10,1.82,17.03,0.89,0.00,0.00,-1.48,9.33,123.81,,,,19.43,19.43,19.42,3.99,4.19,,7.69,4.84,,9.54,9.54,9.21,8.95,,,,9.28,9.52,185.62,9.23,3.75,9.30,16140.00
Abate As Indust,531658,,INE454E01013,Healthcare Services,Hospital,12.54,197.64,38.00,1.15,,0.05,0.67,27.56,45.46,11.57,10.77,0.00,,5.60,0.00,0.00,0.00,0.00,0.00,0.00,639.59,1.28,0.50,5.87,248.86,248.86,248.86,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,2435.00
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26993.00,57360.13,38.03,14.28,25.47,0.05,35.68,74.99,29.56,34.92,1887.55,7.00,1.15,3.22,0.19,0.03,9.00,-0.11,0.62,-0.01,24.90,32832.51,8399.00,37617.32,48.84,47.22,47.78,23.91,22.05,20.75,23.71,5.95,29.76,39.17,39.94,41.40,44.47,562.65,1224.59,1327.00,32.32,34.24,1740.71,46.02,24.64,34.88,71199.00
ABC India,520123,,INE125D01011,Transport Services,Road Transport,66.72,36.14,,0.67,1.93,0.30,4.15,64.69,13.05,,100.46,5.00,1.72,3.52,0.00,0.00,1.90,0.00,1.90,0.00,29.19,22.70,47.70,41.85,22.07,21.29,25.17,2.34,2.46,2.56,3.37,-20.83,-0.42,5.98,11.06,8.54,7.45,86.43,63.56,69.04,5.85,5.02,83.44,8.21,2.36,5.07,5474.00
Abha Power,,ABHAPOWER,INE0UYG01015,Industrial Products,Castings & Forgings,31.90,59.30,11.40,1.12,9.85,0.37,18.22,72.52,25.73,15.11,28.44,6.00,1.11,3.47,0.15,0.00,0.00,0.00,,,82.82,,,,12.48,12.48,12.48,7.18,,,,,,15.28,15.28,15.28,15.28,,,,,18.31,,18.24,8.21,24.15,2093.00
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),130.00,90.02,36.74,1.17,1.15,0.00,1.54,73.49,20.07,34.71,111.17,3.00,0.05,1.79,0.00,0.00,0.00,0.00,0.00,0.00,97.01,46.39,51.59,26.97,13.81,14.49,14.83,9.17,8.45,88.39,89.29,-15.61,10.02,13.89,11.56,12.88,14.68,26.83,45.95,67.15,9.67,10.04,111.28,16.27,9.87,13.47,1206.00
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.19,5.95,,0.88,0.60,3.76,3.86,3.66,20.07,3.31,1.36,7.00,1.02,1.79,0.00,0.00,0.00,0.00,0.00,0.00,-18.47,5.65,53.68,13.69,101.00,100.00,99.50,0.42,0.46,3.18,3.03,60.65,1.40,12.78,16.02,19.81,25.10,1.11,1.12,1.12,2.56,3.35,1.17,21.15,0.46,4.36,14982.00
Abhishek Finle.,538935,,INE723C01015,Finance,Non Banking Financial Company (NBFC),42.36,19.54,1954.00,3.22,1.97,0.00,2.11,72.28,20.07,162.83,13.16,4.00,0.14,1.79,0.00,0.00,0.00,0.00,0.00,0.00,200.43,3.28,2.56,18.10,113.29,108.71,121.25,2.72,2.58,15.07,27.45,24.85,1.78,2.60,2.98,4.22,4.64,8.91,9.36,9.62,2.81,2.92,10.37,7.35,4.24,4.63,1032.00
