Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Industry PE,Price to Quarterly Earning,Book value,Piotroski score,Asset Turnover Ratio,Industry PBV,FII holding,Change in FII holding,DII holding,Change in DII holding,Change in DII holding 3Years,Change in FII holding 3Years,Average Working Capital Days 3years,Market Capitalization 5years back,Market Capitalization 10years back,Market Capitalization 3years back,Historical PE 5Years,Historical PE 10Years,Historical PE 3Years,Return on assets 3years,Return on assets 5years,OPM 10Year,OPM 5Year,Return on equity 5years growth,Average return on equity 10Years,Average return on capital employed 10Years,Average return on capital employed 7Years,Average return on capital employed 5Years,Average return on capital employed 3Years,Book value 10years back,Book value 5years back,Book value 3years back,Average return on equity 5Years,Average return on equity 3Years,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
GRP,509152,GRPLTD,INE137I01015,Industrial Products,Rubber,1770.00,943.99,37.47,5.20,8.28,1.12,17.44,40.06,21.44,117.66,339.70,6.00,1.46,3.33,0.02,0.00,0.00,0.00,0.00,0.01,27.08,81.63,135.28,184.81,36.94,27.13,47.55,6.91,4.66,8.07,8.71,50.84,7.27,7.83,8.51,10.05,13.99,224.62,248.26,257.02,10.29,14.49,314.58,15.47,7.79,15.61,8795.00
GSB Finance,511543,,INE777C01011,Finance,Non Banking Financial Company (NBFC),37.89,22.73,,1.61,4.99,0.00,5.14,55.25,20.07,34.58,23.65,4.00,0.12,1.79,0.00,0.00,0.00,0.00,0.00,0.00,139.94,4.69,2.87,4.83,14.96,12.76,11.49,4.97,3.67,11.90,37.98,126.95,3.36,5.07,4.80,6.20,7.03,17.63,19.48,20.00,4.66,6.06,22.77,11.68,9.53,12.19,12380.00
GSL Securities,530469,,INE721D01017,Finance,Non Banking Financial Company (NBFC),58.72,19.08,,3.29,-2.76,0.00,-2.78,44.64,20.07,,17.85,2.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00,0.00,3438.91,0.86,0.30,2.00,16.68,16.75,19.62,1.22,0.25,42.29,5.00,,5.14,5.23,7.26,0.33,1.25,5.32,17.78,17.45,0.21,1.19,17.51,9.89,8.36,8.45,3901.00
GSM Foils,,GSMFOILS,INE0SQY01018,Industrial Products,Packaging,208.00,293.13,17.29,4.71,23.72,0.24,45.66,66.49,18.57,13.83,44.24,3.00,3.29,1.88,0.00,0.00,1.16,0.16,,,82.94,,,,63.18,63.18,63.18,,,,,,,45.64,45.64,45.64,45.64,,,,,,,,,12.42,1150.00
GSS Infotech,532951,GSS,INE871H01011,IT - Services,IT Enabled Services,15.80,41.37,,0.12,-0.25,0.41,-0.39,12.71,26.90,41.54,133.95,2.00,0.23,3.10,1.03,0.00,1.21,0.00,-1.89,-2.34,34.46,32.26,30.66,195.62,35.98,17.00,23.91,2.01,1.12,3.85,3.20,,1.64,3.56,3.50,1.90,2.73,97.92,80.15,104.95,1.09,1.53,133.61,0.66,0.13,0.18,19214.00
GTL,500160,GTL,INE043A01012,Telecom - Services,Other Telecom Services,8.07,126.94,,,-5.09,,,14.29,24.18,,-384.79,4.00,1.63,1.44,0.03,0.03,8.39,0.00,-2.90,-0.92,-10176.94,18.09,192.69,173.03,5.78,5.78,5.60,-2.33,2.92,-5.40,16.12,,,0.00,0.00,0.00,0.00,-194.19,-427.25,-399.82,,,-382.80,,16.24,,166583.00
GTL Infra.,532775,GTLINFRA,INE221H01019,Telecom - Services,Telecom - Infrastructure,1.23,1575.53,,,-20.85,,,3.28,16.85,18.48,-4.99,5.00,0.32,2.68,0.04,0.03,32.18,-0.69,-13.80,-0.10,-2234.61,307.98,453.40,1893.50,,,,-18.27,-15.74,27.58,26.56,,,-2.90,-5.50,-5.31,-12.31,0.82,-1.03,-2.17,,,-3.97,,-15.70,,2816887.00
GTN Industries,500170,,INE537A01013,Textiles & Apparels,Other Textile Products,22.68,39.78,,0.51,-3.27,0.37,-5.40,74.34,20.04,,45.72,5.00,1.22,1.65,0.00,0.00,0.10,0.00,0.10,0.00,70.13,8.86,16.58,86.21,2.10,3.67,1.66,-0.27,2.60,7.80,9.52,12.26,2.53,9.48,10.48,12.88,5.28,29.05,26.09,45.89,12.08,1.77,50.19,-2.98,-4.09,-6.69,14228.00
GTN Textiles,532744,,INE302H01017,Textiles & Apparels,Other Textile Products,10.99,12.80,,,-0.66,,,63.36,20.04,,-11.15,1.00,0.00,1.65,0.01,0.00,0.01,0.00,-0.47,0.00,592.26,6.69,11.29,21.56,8.88,10.21,8.88,-5.36,-9.58,,,,,-1.22,-3.25,-4.10,-1.94,1.01,35.37,23.46,,,-4.12,0.00,0.00,0.00,14579.00
GTPL Hathway,540602,GTPL,INE869I01013,Entertainment,TV Broadcasting & Software Production,78.75,885.65,21.32,0.79,1.58,0.33,4.13,75.00,18.20,20.05,102.28,6.00,1.11,0.78,8.35,-0.06,0.00,0.00,-0.03,-1.02,-113.09,469.53,,1948.98,15.78,14.77,22.35,3.68,6.18,18.89,17.07,-24.21,12.18,16.87,19.28,18.13,10.97,,78.26,91.75,13.44,8.36,103.13,11.83,3.92,9.44,28600.00
GTT Data,530457,,INE959B01017,IT - Software,Computers - Software & Consulting,75.00,286.45,,3.22,-17.20,0.21,-30.35,62.24,24.47,,23.25,2.00,0.39,3.58,0.00,0.00,0.01,0.00,-0.10,0.00,-79.63,1.63,3.91,3.62,,,,,,,,,,-15.35,-15.35,-15.35,-15.35,,,,,,4.39,,,-4.22,4743.00
GTV Engineering,539479,,INE910R01024,Industrial Manufacturing,Industrial Products,57.15,267.78,18.95,5.05,15.56,0.10,27.38,57.88,29.38,19.50,11.28,7.00,1.39,3.64,0.16,0.00,0.00,0.00,0.00,0.16,26.18,9.21,,40.84,25.66,24.06,25.51,8.86,5.78,4.89,6.09,53.21,8.11,7.78,9.44,11.05,16.24,4.85,5.52,5.72,12.36,17.40,7.74,12.74,6.84,13.49,9503.00
Gufic BioScience,509079,GUFICBIO,INE742B01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,314.00,3148.86,57.98,5.00,6.17,0.59,12.32,72.50,29.56,53.21,62.68,5.00,0.72,3.22,0.44,0.11,3.74,0.08,2.58,0.28,86.06,372.42,98.62,2413.92,34.21,37.29,41.11,8.90,11.74,16.43,18.21,-11.08,23.07,26.01,25.56,25.76,17.74,4.39,22.28,27.76,22.35,18.04,53.11,17.42,8.99,19.95,31420.00
Guj Apollo Inds,522217,GUJAPOLLO,INE826C01016,Industrial Manufacturing,Industrial Products,405.00,525.28,,0.98,0.14,0.09,0.16,47.30,29.38,55.76,416.56,2.00,0.08,3.64,0.05,0.05,0.00,0.00,0.00,0.05,1332.98,151.94,185.96,244.67,25.68,15.46,27.58,1.51,1.37,-14.98,-12.61,-43.74,2.66,2.42,2.59,2.38,2.34,312.35,421.15,443.64,1.49,1.64,408.89,3.32,2.34,2.53,9885.00
