Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Dhanuka Agritech,507717,DHANUKA,INE435G01025,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,1136.15,31.84,1534.16,2029.37,484.28,679.55,1435.14,437.53,58.42,2029.37,997.61,2.00,4.82,152.60,26.98,675.82,338.06,461.32,454.25,409.07,246.64,31.80,7.98,16.11,158.67,117.45,130.93,5121.56
Dhanuka Infra Realty,,DIRL,INE704V01015,Realty,"Residential, Commercial Projects",19.90,2.20,6.18,19.06,2.08,3.09,15.35,2.70,0.00,19.06,12.65,10.00,0.06,0.37,9.33,6.22,2.22,3.08,5.86,12.26,,12.64,11.17,,2.41,2.89,3.26,18.98
Dhanvantri Jeev.,531043,,INE239F01015,Healthcare Services,Healthcare Service Provider,25.00,0.00,5.90,15.71,8.80,24.30,4.41,4.09,0.00,15.71,0.32,10.00,1.14,1.13,0.00,1.69,8.14,23.53,0.63,-0.30,1.77,0.00,0.10,0.00,8.85,10.68,12.28,10.24
Dhara Rail Pro.,,DHARARAIL,INE2HJL01019,Commercial Services & Supplies,Diversified Commercial Services,119.50,21.29,8.85,61.73,0.09,0.42,47.62,41.37,0.05,61.73,6.25,10.00,7.21,16.88,28.16,-20.35,0.11,0.39,,,,,,,,,,180.25
Dharan Infra-EPC,541161,DHARAN,INE278R01034,Realty,"Residential, Commercial Projects",0.19,63.88,620.05,1058.70,0.67,1.56,975.01,59.99,99.07,1058.70,915.02,1.00,700.79,6.67,75.95,911.60,0.77,1.54,143.42,,,89.46,,,0.95,,,99.35
Dharani Finance,511451,,INE899D01011,Finance,Non Banking Financial Company (NBFC),9.24,0.02,4.75,10.21,0.02,0.51,1.23,0.41,0.00,10.21,0.82,10.00,0.12,0.02,0.13,1.35,0.14,0.51,1.42,1.41,3.84,0.03,0.24,0.00,0.11,0.43,0.37,4.61
Dhariwalcorp,,DHARIWAL,INE0YRN01025,Chemicals & Petrochemicals,Trading - Chemicals,74.95,14.55,30.48,65.21,6.96,6.99,54.22,20.87,0.00,65.21,33.35,2.00,0.19,9.53,8.79,6.31,1.64,1.92,0.94,,,5.71,,,1.61,,,352.32
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,240.00,138.88,410.55,955.91,321.41,352.56,629.53,445.13,2.02,955.91,184.40,10.00,6.69,324.58,111.89,118.61,312.43,336.75,47.14,11.07,,36.93,20.18,,40.06,21.81,,811.15
Dharni Capital,543753,,INE0M9Q01011,Capital Markets,Financial Products Distributor,61.25,0.87,21.43,25.19,11.80,12.64,6.31,0.85,0.00,25.19,5.46,1.00,4.21,0.07,0.00,7.75,6.95,7.17,,,,,,,,,,124.77
Dhatre Udyog,540080,,INE715T01031,Industrial Products,Iron & Steel Products,5.18,0.00,46.80,59.84,2.59,6.32,43.02,2.15,0.00,59.84,40.87,1.00,0.05,0.99,0.00,42.11,8.99,14.18,35.25,-12.33,92.79,2.72,239.47,81.28,9.32,23.44,18.70,56.44
