Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,191.45,163.37,437.42,741.76,282.61,366.29,395.66,222.02,17.73,741.76,173.64,5.00,58.35,60.78,121.37,142.46,212.23,366.29,68.21,34.21,-8.17,122.96,119.17,164.62,207.13,200.67,184.90,675.58
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.01,0.00,36.97,53.57,0.63,0.84,46.31,5.88,0.00,53.57,40.43,10.00,0.48,0.00,0.00,41.45,0.72,2.25,4.24,16.55,-0.08,1.00,8.00,19.89,0.77,0.94,1.06,40.97
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1135.25,13764.67,9308.28,24264.74,3652.18,1516.46,2709.21,921.31,946.25,24264.74,1787.90,1.00,1279.43,144.62,9471.93,-329.48,939.73,1129.13,82.79,1103.02,,5807.58,8838.10,,815.99,608.16,30.59,46038.00
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1650.05,0.27,289.65,340.83,17.25,15.01,163.39,26.14,0.20,340.83,137.25,10.00,72.13,5.16,0.85,105.87,7.40,14.11,64.64,31.17,9.43,2.53,3.52,7.50,6.61,3.87,3.75,1416.17
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,22.00,99.92,25.62,171.15,80.92,104.28,83.98,41.96,10.06,171.15,42.02,10.00,0.12,18.61,106.55,19.67,81.26,98.64,10.20,7.92,,99.34,48.04,,83.84,46.13,,54.50
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,25.10,0.45,9.84,23.49,1.01,3.29,22.45,10.20,0.00,23.49,12.25,5.00,1.70,9.53,5.20,5.11,1.29,2.95,12.28,,,10.40,,,0.24,,,15.11
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,15.97,34.79,156.89,570.48,223.92,998.45,273.92,206.45,229.74,570.48,67.47,10.00,45.54,103.16,84.48,28.11,244.90,1038.49,267.01,210.19,-742.08,118.64,902.49,2509.55,416.53,850.75,803.03,331.25
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37289.95,103.32,1599.17,2658.09,411.33,761.32,2077.56,910.91,549.51,2658.09,1166.65,10.00,619.46,623.42,18.18,1608.98,332.45,641.79,1511.84,1155.53,400.66,24.44,41.77,14.31,290.79,286.65,285.22,42025.77
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,34.98,0.00,163.86,185.79,1.63,2.03,0.20,0.22,2.96,185.79,-0.02,2.00,0.20,0.00,0.00,0.01,0.46,0.81,0.08,0.36,43.05,0.00,0.00,74.18,0.65,0.86,1.16,62.96
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.50,3.84,-19.16,19.91,0.00,0.01,19.37,2.07,0.00,19.91,17.30,10.00,0.02,0.02,3.62,17.51,0.00,0.01,15.32,15.43,-1.65,3.61,11.45,12.59,0.00,0.00,0.00,5.24
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,332.65,290.55,595.84,1752.40,17.12,47.44,1363.57,833.40,522.12,1752.40,530.17,10.00,1281.23,0.31,336.32,663.61,24.45,43.25,363.01,132.99,14.04,278.98,219.19,14.83,10.35,8.21,2.13,1039.30
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,708.10,5.30,3484.65,3869.06,337.63,699.40,2564.69,258.43,683.22,3869.06,2306.26,2.00,1862.21,13.27,5.17,1403.55,369.30,690.45,1455.59,1423.46,609.13,0.28,0.00,485.67,381.56,380.91,362.38,3262.84
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,4.03,4.66,1.39,46.25,0.73,1.31,45.52,12.35,0.00,46.25,33.17,10.00,0.26,9.30,5.97,26.83,0.61,1.65,9.88,8.99,0.39,1.44,0.00,0.88,0.11,1.26,1.05,11.30
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.88,1.39,-2.45,21.75,9.36,7.07,11.90,1.58,0.00,21.75,10.32,10.00,0.12,0.05,0.36,6.28,3.05,3.05,-1.45,-7.74,-6.59,4.42,7.43,6.53,0.01,0.52,1.87,167.15
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5806.50,73.22,7151.95,12799.68,1114.40,1720.71,11150.08,5544.25,630.65,12799.68,5605.83,2.00,5261.82,3480.63,48.98,4533.33,993.95,1577.03,2620.85,1850.41,981.75,36.66,13.54,371.07,816.98,741.69,1218.66,123044.60
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,21.19,45.84,93.34,283.90,37.15,46.28,219.41,99.22,44.88,283.90,120.19,1.00,43.22,16.32,41.11,46.56,36.22,41.81,28.37,18.05,-0.64,30.11,23.04,40.51,2.24,0.99,4.12,1353.58
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,115.05,3496.03,90.02,9187.45,3550.57,5401.52,5049.11,5310.28,14.73,9187.45,-261.17,10.00,153.90,2392.19,,,,,,,,,,,,,,14041.95
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,56.30,14.26,3.62,29.47,0.52,3.65,20.33,16.19,6.46,29.47,4.14,10.00,2.62,0.11,10.05,6.48,0.56,3.64,19.17,7.41,11.38,0.00,0.00,28.60,0.64,0.72,1.65,52.97
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1450.25,5489.91,3667.73,17184.07,1413.72,3035.38,14572.58,8803.99,0.00,17184.07,5768.59,10.00,726.02,667.17,2501.69,2185.85,3733.85,7889.67,16.58,-33.48,,1336.32,1399.71,,4058.61,4293.29,7255.54,16198.67
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,2.30,6.29,23.58,134.37,5.37,13.16,125.31,89.58,0.00,134.37,35.73,10.00,2.68,78.82,5.54,30.28,6.96,12.87,5.02,,,3.43,,,7.17,,,7.70
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,77.00,21.51,13.79,57.69,10.46,18.53,40.09,25.43,0.00,57.69,14.66,10.00,0.07,14.03,15.47,11.54,13.05,14.94,2.20,1.37,,9.43,7.84,,5.31,4.00,,42.23
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,25.65,17.06,37.12,68.20,9.95,28.73,51.15,18.75,0.00,68.20,32.40,1.00,0.10,0.67,10.74,30.53,13.12,27.65,28.10,26.87,4.34,25.98,6.37,13.27,17.03,10.86,9.15,1179.90
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1639.80,3264.27,1007.70,4388.46,68.79,110.46,689.55,56.96,0.00,4388.46,632.59,10.00,30.00,6.46,2753.92,288.10,79.14,105.47,688.43,586.18,-402.30,1845.14,881.36,823.24,78.37,71.07,72.71,1082.28
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.93,91.30,-131.94,483.86,71.19,329.48,327.62,413.01,267.93,483.86,-85.39,10.00,4.38,233.52,197.95,-167.68,75.39,330.39,-222.18,-92.39,-61.25,393.99,477.30,1518.55,106.74,122.50,321.31,262.96
AA Plus Trade,543319,,INE0C5901022,Commercial Services & Supplies,Trading & Distributors,1.36,0.87,19.44,48.47,0.07,0.21,44.89,4.71,0.00,48.47,40.18,1.00,0.19,3.55,1.33,13.40,0.03,0.13,12.71,5.90,,3.39,0.95,,0.02,0.03,0.04,33.08
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,107.60,0.00,18.05,34.31,1.06,3.87,33.23,3.44,1.76,34.31,29.79,10.00,24.93,0.00,0.00,26.50,1.42,3.65,21.98,9.17,3.51,0.00,0.00,0.55,0.94,1.06,0.60,138.03
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,473.00,17605.53,6461.37,25083.49,105.35,131.40,2190.82,549.07,8.70,25083.49,1641.75,10.00,1786.65,108.12,13959.62,966.40,79.82,112.10,1482.88,3031.89,,10674.59,9643.34,,55.07,44.27,,20518.57
Aadi Industries,530027,,INE563D01013,Chemicals & Petrochemicals,Petrochemicals,8.44,9.44,-16.93,2.63,0.01,0.05,2.62,9.56,14.46,2.63,-6.94,10.00,0.11,0.10,6.83,-6.70,0.01,0.05,-6.44,-5.98,1.55,6.90,6.42,11.55,0.02,0.02,0.02,8.44
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,51.00,17.12,32.97,71.16,0.22,0.61,51.89,22.96,0.00,71.16,28.93,10.00,1.43,2.44,15.05,12.17,0.28,0.52,7.88,12.02,,3.82,5.88,,0.20,0.06,,72.28
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,7.94,26.23,51.05,106.52,69.14,101.54,30.31,41.77,9.26,106.52,-11.46,1.00,0.20,7.06,25.72,-1.18,59.03,92.04,4.73,3.63,-2.40,16.05,23.67,13.14,46.02,44.68,17.92,80.39
Aananda Lakshmi,539096,,INE197R01010,Textiles & Apparels,Other Textile Products,13.07,11.99,-20.90,4.53,1.64,3.68,2.81,18.51,0.55,4.53,-15.70,10.00,0.02,2.06,19.89,-9.66,1.80,3.97,-8.35,-25.04,-1.36,27.63,34.06,37.10,6.12,18.00,21.00,4.57
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,17.39,0.00,3.57,62.52,23.83,34.86,24.05,22.79,1.05,62.52,1.26,10.00,3.39,3.18,84.11,-17.56,24.56,34.86,79.97,30.90,31.54,77.92,61.78,23.60,25.90,26.41,26.81,4.93
Aar Shyam (I),542377,,INE512R01010,Finance,Non Banking Financial Company (NBFC),13.54,0.35,-0.19,3.37,0.00,0.00,0.15,0.21,0.00,3.37,-0.06,10.00,0.15,0.00,0.34,0.67,0.00,0.00,0.71,1.96,2.17,0.34,0.34,0.39,0.00,0.00,0.00,4.06
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,115.00,39.66,63.81,131.53,25.24,38.63,106.11,41.69,18.66,131.53,64.42,10.00,17.07,5.00,45.20,2.85,28.79,39.15,9.53,3.07,,27.19,18.77,,12.48,16.36,,162.59
Aarcon Facilitie,532024,,INE056J01015,Finance,Other Financial Services,13.69,0.00,-0.19,5.04,0.89,1.50,0.05,0.17,0.00,5.04,-0.12,10.00,0.00,0.09,0.00,0.32,0.21,1.50,0.14,-0.01,-0.18,0.00,0.00,0.00,0.48,0.74,0.89,8.16
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,66.56,50.78,120.40,294.00,25.09,39.10,256.36,142.85,0.00,294.00,113.51,10.00,7.19,82.85,31.35,116.03,12.96,33.89,92.07,81.06,29.05,14.16,17.89,11.02,14.47,12.30,11.71,188.73
Aarnav Fashions,539562,,INE750R01016,Textiles & Apparels,Trading - Textile Products,27.85,100.45,148.50,403.46,120.90,202.95,271.39,178.44,0.00,403.46,92.95,10.00,5.28,52.58,109.26,68.20,130.21,201.87,112.95,20.58,3.14,152.84,0.00,0.00,138.69,0.02,0.00,117.63
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,161.76,32.04,23.29,87.38,56.38,31.47,30.76,24.12,0.00,87.38,6.64,10.00,2.62,5.48,31.56,7.44,24.35,29.14,6.62,3.74,,9.15,5.20,,14.85,9.29,1.45,338.80
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,49.52,5.40,17.96,45.74,4.56,6.25,37.07,11.42,7.11,45.74,25.65,5.00,2.56,4.35,4.20,9.94,5.07,5.88,8.30,5.99,,0.65,2.36,,5.10,5.27,4.68,157.34
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,375.75,573.49,1377.03,2612.27,1078.34,1495.69,1312.40,782.85,267.22,2612.27,529.55,10.00,9.57,376.80,564.28,525.18,811.09,1388.16,453.31,276.26,44.44,542.82,388.64,447.91,689.93,643.81,602.39,3429.47
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,466.00,3973.00,5531.00,11702.00,6586.00,8427.87,3112.00,3984.00,320.50,11702.00,-872.00,5.00,169.00,1451.00,3622.67,-103.39,5649.40,7291.07,533.18,88.50,109.86,2586.95,2097.94,1202.25,3594.65,2468.49,1997.89,16896.88
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,760.00,658.78,2000.89,3265.90,1514.98,1795.66,1326.30,810.62,13.91,3265.90,515.68,5.00,55.56,285.40,285.25,580.86,1033.33,1609.29,447.49,,,341.40,,,782.09,,,6889.20
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,433.30,118.19,228.27,490.20,200.72,326.37,249.74,184.11,11.86,490.20,65.63,10.00,2.14,89.06,99.21,70.29,208.50,313.57,25.95,-0.58,,161.51,108.96,,172.69,151.35,,366.78
Aarvi Encon,,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,132.19,32.02,117.60,221.67,17.36,27.57,168.21,81.98,14.23,221.67,86.23,10.00,12.76,8.44,9.75,81.59,9.66,18.67,51.54,30.73,23.40,6.43,9.60,9.08,10.14,11.39,6.67,195.79
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,79.90,12.61,76.17,116.06,40.79,67.01,12.56,9.76,0.00,116.06,2.80,10.00,2.59,0.89,20.39,-5.74,42.78,66.05,-2.66,5.83,,28.21,30.92,,48.46,44.12,,186.97
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),35.88,50.45,63.90,133.09,0.02,0.09,37.34,3.02,0.07,133.09,34.32,10.00,37.15,0.00,40.22,4.02,0.03,0.09,0.67,-0.44,4.71,0.00,0.00,0.00,0.07,0.01,0.00,55.74
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,20.25,11.13,39.33,64.55,17.79,22.14,46.73,2.96,0.00,64.55,43.77,5.00,11.65,1.62,5.47,33.36,18.18,21.40,-1.38,-1.86,,5.18,8.76,,10.87,8.02,,45.76
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1298.05,14412.64,4600.71,19441.04,156.94,303.19,2382.62,229.16,0.17,19441.04,2153.46,10.00,1922.29,3.22,12411.92,1931.76,116.00,254.02,1666.79,1265.91,-170.65,8011.98,5382.17,704.25,66.16,59.89,18.43,10279.49
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1112.70,0.00,37.94,76.47,0.17,0.50,68.02,23.21,0.00,76.47,44.81,10.00,0.69,22.12,0.00,15.30,0.12,0.40,3.87,7.09,2.71,0.00,0.00,0.00,0.11,0.15,0.22,1703.79
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,36.60,4.05,5.78,15.07,0.07,0.18,4.97,0.38,0.00,15.07,4.59,1.00,0.47,0.24,0.00,0.49,0.01,0.11,9.39,16.94,3.83,4.95,11.52,0.01,0.31,0.95,0.91,178.13
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,445.00,137.39,125.41,303.95,103.00,98.13,164.32,85.78,1.50,303.95,78.54,10.00,2.07,9.24,121.66,36.57,72.08,95.64,18.55,3.00,,30.55,29.11,,22.70,22.13,26.74,977.39
Aban Offshore,523204,ABAN,INE421A01028,Oil,Offshore Support Solution Drilling,21.21,16278.41,-26887.53,1643.14,683.53,3121.78,642.82,28518.51,1269.37,1643.14,-27875.69,2.00,149.15,196.13,15307.88,-24820.44,682.14,3065.78,-21575.81,-19488.94,133.07,15248.69,15688.15,14340.66,704.26,4052.48,14368.85,123.80
ABans Enterprise,512165,,INE365O01028,Metals & Minerals Trading,Trading - Metals,25.00,202.54,203.45,473.68,11.73,13.47,456.33,209.73,0.81,473.68,246.60,2.00,21.11,20.33,155.09,94.98,3.40,8.96,231.03,42.40,,82.74,140.35,,3.98,12.86,,174.38
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,204.70,734.81,1171.47,3716.10,22.46,31.90,3660.13,2402.83,269.60,3716.10,1257.30,2.00,432.38,114.60,929.36,915.23,20.61,29.96,706.18,855.73,,86.05,318.79,,19.61,21.25,,1036.98
Abate As Indust,531658,,INE454E01013,Healthcare Services,Hospital,12.54,9.33,12.20,215.49,151.48,156.79,48.86,18.74,0.01,215.49,30.12,10.00,3.78,10.23,,,,,,,,,,,,,,197.64
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26993.00,182.45,3989.66,5694.47,313.81,552.63,3896.14,1414.33,106.25,5694.47,2481.81,10.00,1279.25,1040.13,83.23,1903.12,224.94,424.50,2649.85,2313.54,829.17,151.69,174.88,0.00,271.00,269.83,81.38,57360.13
ABC India,520123,,INE125D01011,Transport Services,Road Transport,66.72,16.18,49.01,98.19,9.29,15.79,68.01,39.45,0.67,98.19,28.56,10.00,4.22,15.66,20.66,14.24,11.73,16.67,14.29,12.87,28.31,18.42,12.20,40.99,8.16,13.73,13.72,36.14
Abha Power,,ABHAPOWER,INE0UYG01015,Industrial Products,Castings & Forgings,31.90,19.63,34.28,81.17,17.31,28.05,43.31,17.23,0.31,81.17,26.08,10.00,5.29,2.47,23.73,11.80,18.81,27.62,13.72,,,17.66,,,6.13,,,59.30
Abhinav Capital,532057,,INE516F01016,Finance,Non Banking Financial Company (NBFC),130.00,0.00,70.06,83.36,0.02,0.38,22.08,0.03,0.09,83.36,22.05,10.00,0.44,0.03,37.50,50.80,0.02,0.38,18.99,-10.59,12.16,2.16,10.65,0.00,0.02,0.03,0.05,90.02
Abhinav Leasing,538952,,INE211D01027,Finance,Non Banking Financial Company (NBFC),1.19,25.50,1.78,48.46,0.06,0.53,3.72,16.18,0.00,48.46,-12.46,1.00,2.55,0.00,8.49,9.81,0.10,0.53,-24.94,1.40,2.78,0.00,0.00,0.00,0.21,0.03,0.05,5.95
Abhishek Finle.,538935,,INE723C01015,Finance,Non Banking Financial Company (NBFC),42.36,0.01,1.46,6.38,0.04,0.61,3.38,0.29,0.00,6.38,3.09,10.00,2.39,0.00,0.01,2.35,0.07,0.61,1.64,1.30,3.39,0.02,0.07,0.05,0.04,0.06,0.10,19.54
Abhishek Infra.,539544,,INE281P01016,Realty,"Residential, Commercial Projects",7.16,1.23,-1.34,7.45,0.00,0.13,7.00,2.51,0.00,7.45,4.49,10.00,0.08,0.25,1.21,4.83,0.00,0.13,3.01,,,0.92,,,0.00,,,3.62
Abhishek Integr.,,AILIMITED,INE0CAJ01017,Construction,Civil Construction,26.10,8.86,4.57,22.13,2.17,2.52,18.87,10.30,2.50,22.13,8.57,10.00,0.19,1.59,5.62,7.50,2.15,2.43,3.70,,,1.99,,,1.59,,0.00,15.71
Abirami Fin.,511756,,INE195I01013,Finance,Non Banking Financial Company (NBFC),41.71,0.00,14.01,20.03,0.01,0.05,19.08,0.62,0.00,20.03,18.46,10.00,18.38,0.00,0.00,19.70,0.01,0.04,5.14,4.79,-0.38,0.00,0.00,0.00,2.08,2.26,2.50,22.53
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,243.10,0.00,227.61,277.12,53.56,75.31,179.06,21.15,19.89,277.12,157.91,5.00,22.52,0.32,0.00,72.29,52.95,70.84,68.25,43.09,,0.00,0.00,,52.31,51.43,49.87,486.25
Abram Food,544422,,INE0ZDY01011,Food Products,Other Food Products,99.95,6.98,19.02,33.13,2.82,3.78,30.30,8.69,0.01,33.13,21.61,10.00,0.58,0.24,6.01,2.66,1.50,2.81,1.89,,,2.53,,,0.77,,,51.51
Abril Paper,544500,,INE15MX01014,Industrial Products,Other Industrial Products,41.15,1.60,15.50,28.36,0.45,0.65,22.24,4.88,0.00,28.36,17.36,10.00,0.54,2.15,0.00,6.75,0.44,0.48,,,,,,,,,,32.85
ABS Marine,,ABSMARINE,INE0QRV01016,Transport Services,Shipping,185.00,350.71,237.03,666.05,504.42,359.14,142.63,77.68,43.07,666.05,64.95,10.00,16.18,19.29,45.68,22.05,81.96,245.46,-2.25,17.82,,61.15,93.84,,91.40,124.68,,454.18
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1695.85,485.44,19745.36,26501.24,11285.53,17316.72,10396.97,5154.63,3494.92,26501.24,5242.34,10.00,292.39,2001.25,354.85,2870.58,10025.27,15359.97,4362.03,2836.34,-1427.00,125.58,0.00,0.00,6749.75,7026.73,7280.06,31845.91
Accedere,531533,,INE578B01015,IT - Software,Computers - Software & Consulting,55.21,0.55,-0.13,5.54,3.16,4.14,2.37,0.61,0.00,5.54,1.76,10.00,0.48,0.39,0.27,3.20,0.47,1.32,3.09,3.13,,0.01,0.01,,0.47,0.33,,27.75
Accel,517494,,INE258C01038,IT - Software,Computers - Software & Consulting,13.95,64.80,56.33,176.58,82.09,124.74,57.57,64.86,1.60,176.58,-7.29,2.00,3.51,15.38,73.88,3.15,91.04,130.57,-1.21,2.43,,70.52,24.73,,77.93,45.95,12.67,80.30
AccelerateBS Ind,543938,,INE0POP01017,IT - Software,Computers - Software & Consulting,148.50,0.02,1.73,6.65,1.39,0.67,5.12,0.98,0.00,6.65,4.14,10.00,1.00,0.05,0.54,4.24,0.40,0.59,,,,,,,,,,51.07
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1220.55,86.86,247.90,461.56,143.53,315.29,274.61,144.26,6.95,461.56,130.35,10.00,71.27,39.68,33.45,158.36,63.06,288.66,104.99,109.46,-3.35,24.96,49.46,0.00,101.36,136.84,69.11,1821.84
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,331.00,1.15,225.66,289.02,50.23,88.77,159.96,35.83,4.62,289.02,124.13,10.00,43.60,13.87,12.79,125.58,29.04,65.68,10.00,14.35,,24.10,29.93,,30.12,28.80,,794.04
Accord Synergy,,ACCORD,INE113X01015,Telecom - Services,Other Telecom Services,28.00,0.71,11.22,19.99,0.92,0.85,17.75,4.21,0.00,19.99,13.54,10.00,0.97,0.68,0.00,9.95,0.94,0.94,5.95,23.59,5.88,1.66,7.82,5.95,1.74,2.83,3.80,9.72
Accretion Nutraveda,544694,,INE1KVQ01019,,,155.90,4.43,2.95,16.35,1.86,3.00,14.49,7.11,0.00,16.35,7.38,10.00,0.00,2.82,2.17,0.22,1.28,2.03,,,,,,,,,,112.87
Accretion Pha.,,ACCPL,INE0T8T01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,67.80,7.85,35.46,59.07,8.67,7.09,50.05,11.51,0.00,59.07,38.54,10.00,0.16,2.67,13.48,7.02,5.25,5.48,,,,,,,,,,75.36
Accuracy Shippi.,544598,ACCURACY,INE648Z01023,Transport Services,Logistics Solution Provider,5.12,131.43,106.74,305.10,65.25,173.34,217.20,152.86,0.00,305.10,64.34,1.00,16.37,39.03,109.29,77.96,70.30,165.95,92.01,61.82,,117.37,77.66,,56.18,50.67,,77.07
ACE Alpha Tech,544431,,INE0S9X01011,IT - Software,Computers - Software & Consulting,93.21,0.00,43.92,62.95,3.84,3.05,49.01,1.24,0.00,62.95,47.77,10.00,27.58,0.00,0.00,14.20,1.67,1.87,0.42,,,0.00,,,0.03,,,163.66
ACE EduTremd Ltd,530093,,INE715F01014,Other Consumer Services,Education,4.66,0.00,-1.13,12.52,0.97,25.39,5.54,4.48,0.00,12.52,1.06,10.00,0.01,2.85,0.00,1.72,0.97,25.39,1.51,0.98,-3.94,0.00,0.00,0.00,1.08,1.79,3.22,4.27
Ace Engitech,530669,,INE035401020,IT - Services,IT Enabled Services,134.40,0.00,-0.95,0.74,0.01,0.05,0.43,0.83,0.00,0.74,-0.40,10.00,0.22,0.02,0.00,0.24,0.01,0.05,-0.07,0.02,0.14,0.00,0.00,0.00,0.01,0.03,0.04,11.54
Ace Integrated,,ACEINTEG,INE543V01017,Commercial Services & Supplies,Diversified Commercial Services,19.59,0.11,7.00,17.65,1.73,2.40,9.81,0.37,0.00,17.65,9.44,10.00,3.56,0.07,0.20,12.50,1.94,2.41,12.01,8.00,0.64,2.03,0.98,2.60,2.43,2.11,2.86,19.99
Ace Men,539661,,INE023R01018,Retailing,Distributors,99.00,0.00,0.77,4.48,0.00,0.00,0.21,0.61,0.00,4.48,-0.40,10.00,0.01,0.00,0.00,2.73,0.00,0.00,-4.03,0.02,1.23,0.00,0.00,0.00,0.00,0.00,0.00,127.85
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,220.05,12.77,79.68,117.01,59.27,45.10,39.29,16.79,0.00,117.01,22.50,10.00,9.08,0.37,1.90,9.93,10.30,18.65,4.90,6.02,5.58,1.77,1.72,0.00,8.35,9.05,4.30,356.98
Achyut Healthcar,543499,,INE0K1401020,Pharmaceuticals & Biotechnology,Pharmaceuticals,5.36,0.00,7.74,32.59,0.03,0.06,12.06,1.29,0.00,32.59,10.77,1.00,1.00,1.13,0.00,21.27,0.06,0.08,6.96,0.20,,0.00,0.00,,0.03,0.00,,126.24
ACI Infocom,517356,,INE167B01025,IT - Hardware,Computers Hardware & Equipments,1.05,0.00,5.17,16.42,0.00,0.01,8.91,0.20,0.09,16.42,8.71,1.00,0.12,0.08,0.00,6.95,0.02,0.02,7.42,8.38,10.87,0.00,0.00,0.00,0.02,0.02,0.02,11.60
Acknit Indus.,530043,,INE326C01017,Textiles & Apparels,Other Textile Products,269.80,55.63,86.91,175.31,34.04,59.65,128.08,82.22,1.24,175.31,45.86,10.00,2.27,20.20,58.55,39.68,34.72,56.29,26.94,22.47,11.34,62.07,47.28,54.13,37.04,31.88,24.43,82.03
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),32.89,12.06,107.19,149.88,0.05,0.19,28.43,1.25,99.64,149.88,27.18,10.00,1.45,0.62,11.74,14.11,0.05,0.19,29.57,29.76,64.75,3.29,4.85,78.31,0.06,0.59,1.39,84.67
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,230.90,12997.70,4662.65,20424.19,13714.24,14886.14,4077.89,2997.31,549.26,20424.19,1080.58,2.00,3391.22,30.81,8536.35,1573.36,6757.92,9035.46,1093.81,187.67,,7914.53,10592.51,,6177.11,9650.35,,13991.87
Acrow India,513149,,INE950D01012,Industrial Products,Iron & Steel Products,735.00,0.00,21.76,26.80,2.27,5.58,24.54,3.85,0.07,26.80,20.69,10.00,0.01,3.01,0.00,18.47,3.53,7.61,9.32,7.79,5.81,0.00,0.00,1.13,3.98,4.26,4.83,47.04
ACS Tech,530745,,INE366C01021,IT - Services,IT Enabled Services,40.84,41.29,41.13,179.14,44.48,59.19,110.93,60.41,0.00,179.14,50.52,10.00,2.41,29.21,15.94,53.77,37.28,50.17,-4.10,,,27.81,,,0.00,,,248.07
